SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1970,0.0696600005
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1970,227970000000.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1970,465328622908.88
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1970,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1970,12682000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1971,0.093569003
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1971,245690000000.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1971,498289112456.36
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1971,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1971,14074000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1972,0.1252540052
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1972,255240000000.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1972,549433366225.34
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1972,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1972,15878000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1973,0.1745180041
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1973,275620000000.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1973,669156564750.96
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1973,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1973,19688000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1974,0.2574619949
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1974,282770000000.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1974,790868760987.78
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1974,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1974,24161000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1975,0.3604139984
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1975,303950000000.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1975,849574496861.99
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1975,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1975,27048000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1976,0.5832639933
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1976,298860000000.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1976,915786831145.5
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1976,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1976,30523000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1977,0.8906490207
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1977,325000000000.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1977,1037905198686.18
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1977,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1977,33838000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1978,1.2877919674
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1978,367870251960.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1978,1125153683356.82
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1978,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1978,38945000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1979,2.1442859173
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1979,410045367150.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1979,1237151792692.69
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1979,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1979,46569000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1980,4.3549070358
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1980,458758107780.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1980,1474078683724.41
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1980,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1980,62038000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1981,8.5517263413
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1981,493373283730.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1981,1728155053220.63
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1981,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1981,71852000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1982,17.4355602264
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1982,538046593630.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1982,1926205634078.53
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1982,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1982,81757000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1983,40.1522598267
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1983,604380270670.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1983,2241302389632.28
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1983,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1983,93650000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1984,132.41796875
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1984,731419848680.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1984,2507642497861.35
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1984,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1984,109688000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1985,475.949005127
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1985,912364567410.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1985,2831050853904.19
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1985,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1985,125947000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1986,1272.1594238281
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1986,1037536030970.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1986,3165609412846.16
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1986,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1986,147558000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1987,4036.3601074219
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1987,1216659215950.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1987,3592457035299.16
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1987,0.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1987,173993000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1988,30218.19921875
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1988,1517439389570.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1988,4248669901195.74
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1988,536000000.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1988,209169000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1989,448509.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1989,1718836381380.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1989,4875466135720.82
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1989,573100000.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1989,250889000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1990,11241795.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1990,1892333158720.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1990,5685642055692.79
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1990,642911700.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1990,287930000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1991,58935000.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1991,2205034417800.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1991,6521834835400.0
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1991,1394672000.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1991,333386000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1992,628867800.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1992,2720820710770.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1992,7495509317400.0
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1992,18824115600.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1992,375322000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1993,13753924200.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1993,3559924627810.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1993,8639124253800.0
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1993,169752166900.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1993,430184000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1994,343380663000.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1994,4854816060180.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1994,10144870589300.0
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1994,607905544000.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1994,487634000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1995,695487258000.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1995,6035664459670.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1995,11920986758200.0
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1995,1416345229440.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1995,553444000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1996,831737239000.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1996,7077959253270.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1996,13817339747000.0
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1996,1979970026800.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1996,621234000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1997,921710778000.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1997,7880286225610.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1997,15320888758400.0
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1997,2292233094000.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1997,688274000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1998,958034717000.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1998,8381755802620.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1998,17573290117100.0
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1998,2515203961500.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1998,744170000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,1999,1030892185000.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,1999,8936648242170.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,1999,19728305729000.0
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,1999,4633268042000.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,1999,815152000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,2000,1164560429800.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,2000,9906606709100.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,2000,21171526906300.0
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,2000,7116148555000.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,2000,924300000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,2001,1273035219500.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,2001,10927615244870.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,2001,22951749571000.0
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,2001,8819957023000.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,2001,1013968000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,2002,1438840875800.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,2002,12048041483840.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,2002,24759237846800.0
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,2002,10624122950000.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,2002,1187865000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,2003,1663432274800.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,2003,13657625062490.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,2003,27718221413900.0
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,2003,12803998654900.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,2003,1290897000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,2004,1899911998700.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,2004,16141542777190.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,2004,31639569237500.0
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,2004,16659252588300.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,2004,1448773000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,2005,2107839508500.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,2005,18599890870890.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,2005,36060086607100.0
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,2005,21085757381140.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,2005,1607829000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,2006,2349156357600.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,2006,21902845445640.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,2006,42213949837900.0
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,2006,26134008125700.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,2006,1804625000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,2007,2662482264300.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,2007,27070400000000.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,2007,48781500590600.0
GNI (current LCU),NY.GNP.MKTP.CN,Russian Federation,RUS,2007,32510057136000.0
GNI (current LCU),NY.GNP.MKTP.CN,South Africa,ZAF,2007,2040684000000.0
GNI (current LCU),NY.GNP.MKTP.CN,Brazil,BRA,2008,3033549552300.0
GNI (current LCU),NY.GNP.MKTP.CN,China,CHN,2008,32122950000000.0
GNI (current LCU),NY.GNP.MKTP.CN,India,IND,2008,54812293846600.0
