SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Brazil,BRA,1970,0.0
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,China,CHN,1970,0.0
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,India,IND,1970,2.88915702696259
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Russian Federation,RUS,1970,0.0
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,South Africa,ZAF,1970,2.50460129058001
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Brazil,BRA,1971,8.97542053307083
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,China,CHN,1971,0.0
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,India,IND,1971,-0.601198616478129
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Russian Federation,RUS,1971,0.0
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,South Africa,ZAF,1971,1.89610639603993
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Brazil,BRA,1972,9.67093782820069
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,China,CHN,1972,0.0
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,India,IND,1972,-2.79470136749359
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Russian Federation,RUS,1972,0.0
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,South Africa,ZAF,1972,-1.17401948878133
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Brazil,BRA,1973,10.937733525372
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,China,CHN,1973,0.0
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,India,IND,1973,0.978327425350443
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Russian Federation,RUS,1973,0.0
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,South Africa,ZAF,1973,1.70348930898612
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Brazil,BRA,1974,6.90129153978593
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,China,CHN,1974,0.0
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,India,IND,1974,-1.01814965526054
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Russian Federation,RUS,1974,0.0
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,South Africa,ZAF,1974,3.10630770105489
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Brazil,BRA,1975,2.17787269185253
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,China,CHN,1975,0.0
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,India,IND,1975,6.71880249044916
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Russian Federation,RUS,1975,0.0
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,South Africa,ZAF,1975,-1.30021409895568
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Brazil,BRA,1976,6.99947015853171
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,China,CHN,1976,0.0
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,India,IND,1976,-0.62522712072186
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Russian Federation,RUS,1976,0.0
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,South Africa,ZAF,1976,-0.277218061791302
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Brazil,BRA,1977,1.98396274902186
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,China,CHN,1977,0.0
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,India,IND,1977,4.85311836064541
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,Russian Federation,RUS,1977,0.0
