SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Brazil,BRA,1970,42676319834.3488
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,China,CHN,1970,100211444556.65
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,India,IND,1970,63879486702.0877
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Russian Federation,RUS,1970,0.0
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,South Africa,ZAF,1970,17724188030.6211
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Brazil,BRA,1971,49333934414.1925
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,China,CHN,1971,105767767755.274
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,India,IND,1971,67629474399.3807
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Russian Federation,RUS,1971,0.0
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,South Africa,ZAF,1971,19737538525.6221
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Brazil,BRA,1972,59181570691.8089
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,China,CHN,1972,114722051027.908
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,India,IND,1972,71807500973.6447
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Russian Federation,RUS,1972,0.0
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,South Africa,ZAF,1972,21333875275.0742
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Brazil,BRA,1973,77769954639.8915
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,China,CHN,1973,140517018667.205
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,India,IND,1973,85739085038.2321
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Russian Federation,RUS,1973,0.0
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,South Africa,ZAF,1973,26561950627.4681
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Brazil,BRA,1974,102771057123.646
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,China,CHN,1974,162063302545.973
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,India,IND,1974,102230290598.523
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Russian Federation,RUS,1974,0.0
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,South Africa,ZAF,1974,34455314953.0996
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Brazil,BRA,1975,126660628603.433
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,China,CHN,1975,187352698228.468
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,India,IND,1975,118282717799.812
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Russian Federation,RUS,1975,0.0
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,South Africa,ZAF,1975,40671391292.3369
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Brazil,BRA,1976,149591618100.552
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,China,CHN,1976,173660731274.618
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,India,IND,1976,115091126939.371
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Russian Federation,RUS,1976,0.0
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,South Africa,ZAF,1976,40333782512.5758
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Brazil,BRA,1977,167757714503.167
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,China,CHN,1977,183675112500.134
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,India,IND,1977,121037696306.793
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Russian Federation,RUS,1977,0.0
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,South Africa,ZAF,1977,39743544255.9752
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Brazil,BRA,1978,193343515409.989
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,China,CHN,1978,187711039175.532
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,India,IND,1978,138152456960.864
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Russian Federation,RUS,1978,0.0
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,South Africa,ZAF,1978,43725680356.3885
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Brazil,BRA,1979,232359917428.957
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,China,CHN,1979,203040323082.01
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,India,IND,1979,152445420498.822
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Russian Federation,RUS,1979,0.0
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,South Africa,ZAF,1979,53870373374.4561
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Brazil,BRA,1980,265943037420.998
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,China,CHN,1980,214942958228.867
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,India,IND,1980,188583005660.364
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Russian Federation,RUS,1980,0.0
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,South Africa,ZAF,1980,71446803913.095
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Brazil,BRA,1981,258616663815.922
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,China,CHN,1981,223173149674.185
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,India,IND,1981,210991096572.753
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Russian Federation,RUS,1981,0.0
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,South Africa,ZAF,1981,84522525055.0186
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Brazil,BRA,1982,254812549863.468
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,China,CHN,1982,222244989139.507
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,India,IND,1982,210368654692.796
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Russian Federation,RUS,1982,0.0
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,South Africa,ZAF,1982,83631261891.9115
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Brazil,BRA,1983,223410392284.419
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,China,CHN,1983,229305429127.706
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,India,IND,1983,212449384165.924
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Russian Federation,RUS,1983,0.0
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,South Africa,ZAF,1983,78186674308.2091
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Brazil,BRA,1984,215480414611.018
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,China,CHN,1984,259438144171.881
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,India,IND,1984,215868738341.147
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Russian Federation,RUS,1984,0.0
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,South Africa,ZAF,1984,78432706521.0404
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Brazil,BRA,1985,213647286293.256
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,China,CHN,1985,301493272301.297
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,India,IND,1985,229292232383.387
