SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1970,8694949202.08942
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1970,30438112787.3913
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1970,10395304365.0704
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1970,0.0
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1970,5259797898.18476
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1971,10390955066.7027
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1971,33570874888.2931
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1971,11856812344.5308
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1971,0.0
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1971,6294593845.95531
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1972,12393184513.7359
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1972,35525455373.9254
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1972,11531268024.9153
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1972,0.0
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1972,5666523992.22482
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1973,18427695392.8517
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1973,45658686850.3066
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1973,16297531657.6351
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1973,0.0
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1973,7808817573.61915
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1974,26692655164.1699
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1974,47877399566.5919
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1974,19152472012.0472
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1974,0.0
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1974,11054090073.0034
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1975,33202202646.7511
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1975,57259418523.4972
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1975,18667998855.351
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1975,0.0
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1975,12327118863.4757
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1976,35293372834.9106
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1976,51138650741.7328
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1976,19673602477.9249
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1976,0.0
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1976,11120499990.33
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1977,38879499001.1146
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1977,59267208456.2386
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1977,23828197009.8798
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1977,0.0
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1977,12092249989.485
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1978,46130434386.0675
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1978,56233026138.2114
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1978,31918442717.7273
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1978,0.0
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1978,12464849989.161
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1979,51213073778.9867
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1979,64710334643.4783
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1979,34317406660.9292
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1979,0.0
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1979,15782236687.5453
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1980,54869959137.338
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1980,66147553729.1667
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1980,39272998079.8777
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1980,0.0
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1980,26019674071.7429
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1981,60840759336.8964
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1981,64535523825.3968
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1981,40304162080.3454
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1981,0.0
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1981,29152932862.7596
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1982,59417401686.2414
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1982,65587896076.3359
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1982,42113775233.519
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1982,0.0
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1982,20804633080.2273
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1983,33915348956.0437
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1983,73648734593.8697
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1983,43757594266.7736
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1983,0.0
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1983,23753702545.4972
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1984,32901534612.3669
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1984,89365467310.7143
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1984,44617642744.8933
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1984,0.0
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1984,19756283143.2995
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1985,42806695570.1552
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1985,120898734132.653
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1985,52673270883.1764
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1985,0.0
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1985,13027471483.1006
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1986,51195732297.9863
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1986,113467013495.652
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1986,54974899457.1405
