SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Brazil,BRA,1970,100.420316996168
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,China,CHN,1970,96.7680497740931
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,India,IND,1970,105.285053453083
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Russian Federation,RUS,1970,0.0
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,South Africa,ZAF,1970,99.2626938279112
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Brazil,BRA,1971,101.724672716632
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,China,CHN,1971,96.8476726443893
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,India,IND,1971,107.557918344712
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Russian Federation,RUS,1971,0.0
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,South Africa,ZAF,1971,103.458708657086
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Brazil,BRA,1972,101.584894011982
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,China,CHN,1972,95.5305515240558
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,India,IND,1972,105.743108355026
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Russian Federation,RUS,1972,0.0
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,South Africa,ZAF,1972,97.5636496528201
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Brazil,BRA,1973,101.229908498643
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,China,CHN,1973,96.4089959400624
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,India,IND,1973,106.971977048829
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Russian Federation,RUS,1973,0.0
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,South Africa,ZAF,1973,93.4972946384653
