SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1970,439981690717.906
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1970,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1970,217557022939.531
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1970,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1970,106827016601.811
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1971,496064716423.437
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1971,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1971,225651907869.494
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1971,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1971,113967921815.326
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1972,556682660455.993
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1972,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1972,225128086656.487
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1972,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1972,113018214963.426
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1973,627293373583.243
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1973,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1973,236573653038.049
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1973,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1973,122574707587.572
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1974,691332447393.857
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1974,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1974,233315185012.071
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1974,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1974,132844334374.253
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1975,706729637181.923
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1975,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1975,240579360969.372
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1975,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1975,138958359256.478
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1976,795596104574.437
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1976,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1976,252920514348.191
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1976,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1976,137699413554.842
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1977,834712693022.942
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1977,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1977,276300121358.004
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1977,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1977,136350727945.83
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1978,861629756676.948
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1978,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1978,300404219091.339
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1978,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1978,137053481776.363
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1979,933589652168.724
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1979,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1979,289947054758.516
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1979,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1979,143198648576.115
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1980,1004251433355.96
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1980,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1980,314566162734.461
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1980,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1980,163065744487.742
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1981,953117020133.756
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1981,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1981,322197072701.79
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1981,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1981,174354876438.002
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1982,967708703367.455
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1982,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1982,329239867361.058
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1982,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1982,168991140478.804
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1983,950503992008.661
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1983,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1983,353095660613.972
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1983,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1983,173888151586.229
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1984,996245244942.047
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1984,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1984,366249266968.119
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1984,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1984,181004334711.589
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1985,1039227128583.79
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1985,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1985,386482966092.437
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1985,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1985,171708455894.279
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1986,1123692617675.69
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1986,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1986,401609655777.269
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1986,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1986,168887061409.285
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1987,1135424154027.12
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1987,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1987,424834514766.156
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1987,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1987,173274047396.117
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1988,1129315980610.31
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1988,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1988,456093861547.438
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1988,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1988,185204194136.957
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1989,1150100825888.64
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1989,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1989,481930854031.313
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1989,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1989,190849716520.701
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1990,1122467639572.89
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1990,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1990,517454401867.874
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1990,1476123271276.45
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1990,191344991412.5
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1991,1186718575829.92
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1991,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1991,504558469808.645
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1991,1415299795103.08
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1991,191664474579.553
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1992,1173782157344.25
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1992,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1992,528581640265.389
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1992,1080461490239.72
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1992,189116258850.666
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1993,1225283410584.36
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1993,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1993,550149013009.142
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1993,924155905561.25
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1993,191791639949.879
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1994,1313780314404.27
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1994,0.0
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1994,591879679510.34
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1994,811344676927.682
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1994,202604073725.337
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1995,1404692292633.01
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1995,1114726322217.17
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1995,631372782219.635
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1995,770718020833.441
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1995,211594128911.201
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1996,1429924648306.05
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1996,1253400802088.93
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1996,667937625966.078
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1996,744571976403.667
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1996,219365395856.303
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Brazil,BRA,1997,1483718465779.9
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,China,CHN,1997,1336808044560.17
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,India,IND,1997,711944857398.319
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,Russian Federation,RUS,1997,751010058176.931
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,South Africa,ZAF,1997,225822670374.146
