SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1970,42505510195.524
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1970,89610091424.9736
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1970,65721544650.6904
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1970,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1970,18282592694.276
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1971,50053072540.5315
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1971,96654905727.5164
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1971,72441320699.8804
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1971,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1971,21036974457.1843
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1972,59466790031.2971
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1972,108606378205.871
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1972,75567402486.049
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1972,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1972,20837093964.0627
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1973,80254117599.5042
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1973,133569153820.247
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1973,91477374554.2687
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1973,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1973,27390663303.0731
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1974,111308134180.488
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1974,140050950586.376
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1974,108963185791.308
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1974,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1974,34863578716.4662
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1975,128616937413.036
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1975,158573652521.777
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1975,104558196234.463
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1975,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1975,38947529344.6496
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1976,156337566438.181
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1976,152468118126.095
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1976,106766726369.931
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1976,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1976,36972499967.85
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1977,177343497129.785
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1977,169899520066.746
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1977,127634301441.317
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1977,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1977,40535199964.752
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1978,203188046260.007
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1978,147030520500.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1978,149980672931.809
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1978,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1978,44732699961.102
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1979,229585111842.193
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1979,176840070756.522
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1979,165418323483.925
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1979,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1979,54660052941.8521
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1980,240319952743.576
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1980,189800775804.167
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1980,202303987012.839
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1980,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1980,78969357715.6908
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1981,264560247650.45
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1981,194622834571.429
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1981,206258361072.218
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1981,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1981,87295850284.6759
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1982,283554930548.68
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1982,202108624465.649
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1982,213362814665.2
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1982,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1982,76979905296.3204
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1983,198397804271.185
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1983,229250353750.958
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1983,230668348750.099
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1983,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1983,87076564062.2647
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1984,197270082161.866
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1984,260317089364.286
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1984,224868394004.174
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1984,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1984,76770641468.6001
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1985,211455344730.865
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1985,322285221448.98
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1985,247771914293.751
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1985,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1985,56188991231.4612
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1986,261535638385.944
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1986,308563324124.638
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1986,265889382043.509
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1986,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1986,64445058755.3248
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1987,284475570020.862
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1987,273255346793.722
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1987,299760775737.628
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1987,0.0
Gross national expenditure (current US$),NE.DAB.TOTL.CD,South Africa,ZAF,1987,83549221525.5154
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Brazil,BRA,1988,313231009806.369
Gross national expenditure (current US$),NE.DAB.TOTL.CD,China,CHN,1988,316082457096.708
Gross national expenditure (current US$),NE.DAB.TOTL.CD,India,IND,1988,316878955130.841
Gross national expenditure (current US$),NE.DAB.TOTL.CD,Russian Federation,RUS,1988,548899501661.13
