SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Brazil,BRA,1970,13622585421.9581
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,China,CHN,1970,37293850028.4345
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,India,IND,1970,13563974410.7213
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Russian Federation,RUS,1970,0.0
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,South Africa,ZAF,1970,6656997339.86386
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Brazil,BRA,1971,16100750952.153
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,China,CHN,1971,41835242505.4838
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,India,IND,1971,15081238563.2418
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Russian Federation,RUS,1971,0.0
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,South Africa,ZAF,1971,7028636886.63202
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Brazil,BRA,1972,19166337452.185
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,China,CHN,1972,48621442252.0155
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,India,IND,1972,16013474323.2673
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Russian Federation,RUS,1972,0.0
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,South Africa,ZAF,1972,7649026876.55691
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Brazil,BRA,1973,26496716609.6275
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,China,CHN,1973,59329446064.1399
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,India,IND,1973,18255996684.8696
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Russian Federation,RUS,1973,0.0
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,South Africa,ZAF,1973,11059729632.3172
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Brazil,BRA,1974,36606872242.0549
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,China,CHN,1974,61176830511.9315
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,India,IND,1974,22568187733.4708
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Russian Federation,RUS,1974,0.0
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,South Africa,ZAF,1974,14200627761.2049
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Brazil,BRA,1975,43881294192.9237
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,China,CHN,1975,74131627056.6728
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,India,IND,1975,22846921732.9662
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Russian Federation,RUS,1975,0.0
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,South Africa,ZAF,1975,14957246791.2357
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Brazil,BRA,1976,53406528922.4241
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,China,CHN,1976,69331410322.4477
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,India,IND,1976,25145699499.2415
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Russian Federation,RUS,1976,0.0
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,South Africa,ZAF,1976,14443999987.44
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Brazil,BRA,1977,59989144498.933
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,China,CHN,1977,81698783507.3743
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,India,IND,1977,29643225639.7244
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Russian Federation,RUS,1977,0.0
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,South Africa,ZAF,1977,15572149986.459
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Brazil,BRA,1978,71325709050.1031
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,China,CHN,1978,71348003752.0325
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,India,IND,1978,34770502916.4936
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,Russian Federation,RUS,1978,0.0
"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,South Africa,ZAF,1978,18535699983.882
