SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1970,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1970,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1970,1314846038436.57
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1970,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1970,132263355497.264
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1971,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1971,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1971,1357809564969.95
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1971,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1971,140670792050.566
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1972,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1972,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1972,1411041104133.94
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1972,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1972,146011810830.092
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1973,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1973,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1973,1473820093638.69
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1973,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1973,159558567566.274
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1974,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1974,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1974,1516783620172.07
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1974,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1974,169908101993.231
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1975,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1975,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1975,1548758571784.96
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1975,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1975,176445333241.98
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1976,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1976,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1976,1684584563425.07
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1976,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1976,180868723257.554
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1977,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1977,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1977,1789426376600.86
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1977,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1977,174811774310.721
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1978,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1978,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1978,2010458859017.86
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1978,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1978,187495820217.681
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1979,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1979,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1979,1945698323215.97
