SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Brazil,BRA,1970,46914000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,China,CHN,1970,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,India,IND,1970,-10235000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Russian Federation,RUS,1970,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,South Africa,ZAF,1970,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Brazil,BRA,1971,86780000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,China,CHN,1971,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,India,IND,1971,-16393000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Russian Federation,RUS,1971,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,South Africa,ZAF,1971,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Brazil,BRA,1972,138199000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,China,CHN,1972,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,India,IND,1972,-1963000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Russian Federation,RUS,1972,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,South Africa,ZAF,1972,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Brazil,BRA,1973,164893000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,China,CHN,1973,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,India,IND,1973,-12846000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Russian Federation,RUS,1973,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,South Africa,ZAF,1973,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Brazil,BRA,1974,225445000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,China,CHN,1974,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,India,IND,1974,-9395000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Russian Federation,RUS,1974,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,South Africa,ZAF,1974,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Brazil,BRA,1975,223463000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,China,CHN,1975,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,India,IND,1975,-22560000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Russian Federation,RUS,1975,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,South Africa,ZAF,1975,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Brazil,BRA,1976,127662000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,China,CHN,1976,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,India,IND,1976,17534000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Russian Federation,RUS,1976,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,South Africa,ZAF,1976,0.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Brazil,BRA,1977,198258000.0
