SeriesName,SeriesCode,CountryName,CountryCode,Year
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1970
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1970
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1970
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1970
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1970
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1971
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1971
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1971
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1971
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1971
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1972
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1972
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1972
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1972
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1972
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1973
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1973
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1973
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1973
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1973
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1974
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1974
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1974
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1974
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1974
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1975
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1975
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1975
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1975
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1975
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1976
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1976
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1976
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1976
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1976
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1977
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1977
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1977
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1977
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1977
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1978
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1978
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1978
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1978
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1978
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1979
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1979
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1979
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1979
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1979
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1980
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,China,CHN,1980
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,India,IND,1980
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Russian Federation,RUS,1980
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,South Africa,ZAF,1980
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Brazil,BRA,1981
