SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,Brazil,BRA,1970,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,China,CHN,1970,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,India,IND,1970,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,Russian Federation,RUS,1970,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,South Africa,ZAF,1970,2683767682.69964
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,Brazil,BRA,1971,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,China,CHN,1971,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,India,IND,1971,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,Russian Federation,RUS,1971,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,South Africa,ZAF,1971,2558682449.91834
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,Brazil,BRA,1972,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,China,CHN,1972,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,India,IND,1972,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,Russian Federation,RUS,1972,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,South Africa,ZAF,1972,2850065145.07104
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,Brazil,BRA,1973,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,China,CHN,1973,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,India,IND,1973,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,Russian Federation,RUS,1973,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,South Africa,ZAF,1973,5301652244.60384
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,Brazil,BRA,1974,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,China,CHN,1974,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,India,IND,1974,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,Russian Federation,RUS,1974,0.0
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,South Africa,ZAF,1974,7464531871.56203
