SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Brazil,BRA,1970,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,China,CHN,1970,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,India,IND,1970,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Russian Federation,RUS,1970,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,South Africa,ZAF,1970,236599899.3
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Brazil,BRA,1971,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,China,CHN,1971,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,India,IND,1971,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Russian Federation,RUS,1971,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,South Africa,ZAF,1971,283822326.7
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Brazil,BRA,1972,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,China,CHN,1972,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,India,IND,1972,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Russian Federation,RUS,1972,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,South Africa,ZAF,1972,279514373.8
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Brazil,BRA,1973,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,China,CHN,1973,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,India,IND,1973,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Russian Federation,RUS,1973,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,South Africa,ZAF,1973,423839386.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Brazil,BRA,1974,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,China,CHN,1974,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,India,IND,1974,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Russian Federation,RUS,1974,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,South Africa,ZAF,1974,566159301.8
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Brazil,BRA,1975,108000000.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,China,CHN,1975,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,India,IND,1975,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Russian Federation,RUS,1975,0.0
