SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Brazil,BRA,1970,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,China,CHN,1970,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,India,IND,1970,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Russian Federation,RUS,1970,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,South Africa,ZAF,1970,-464029840.000224
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Brazil,BRA,1971,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,China,CHN,1971,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,India,IND,1971,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Russian Federation,RUS,1971,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,South Africa,ZAF,1971,-343006073.296167
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Brazil,BRA,1972,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,China,CHN,1972,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,India,IND,1972,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Russian Federation,RUS,1972,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,South Africa,ZAF,1972,506032269.013867
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Brazil,BRA,1973,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,China,CHN,1973,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,India,IND,1973,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Russian Federation,RUS,1973,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,South Africa,ZAF,1973,-201471855.28685
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Brazil,BRA,1974,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,China,CHN,1974,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,India,IND,1974,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Russian Federation,RUS,1974,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,South Africa,ZAF,1974,-110595953.811362
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Brazil,BRA,1975,-1065353629.65759
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,China,CHN,1975,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,India,IND,1975,357327833.907929
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Russian Federation,RUS,1975,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,South Africa,ZAF,1975,57245368.626601
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Brazil,BRA,1976,2671552772.39803
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,China,CHN,1976,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,India,IND,1976,2209649658.43941
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Russian Federation,RUS,1976,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,South Africa,ZAF,1976,-962478895.217326
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Brazil,BRA,1977,521321947.922292
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,China,CHN,1977,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,India,IND,1977,2081272807.86573
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Russian Federation,RUS,1977,0.0
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,South Africa,ZAF,1977,-490691646.449186
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Brazil,BRA,1978,4627513909.02911
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,China,CHN,1978,0.0
