SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Brazil,BRA,1970,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,China,CHN,1970,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,India,IND,1970,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Russian Federation,RUS,1970,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,South Africa,ZAF,1970,60199975.9440896
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Brazil,BRA,1971,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,China,CHN,1971,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,India,IND,1971,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Russian Federation,RUS,1971,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,South Africa,ZAF,1971,65698326.2825183
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Brazil,BRA,1972,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,China,CHN,1972,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,India,IND,1972,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Russian Federation,RUS,1972,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,South Africa,ZAF,1972,93885181.336083
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Brazil,BRA,1973,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,China,CHN,1973,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,India,IND,1973,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Russian Federation,RUS,1973,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,South Africa,ZAF,1973,125383798.268598
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Brazil,BRA,1974,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,China,CHN,1974,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,India,IND,1974,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Russian Federation,RUS,1974,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,South Africa,ZAF,1974,95623116.2660366
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Brazil,BRA,1975,13000000.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,China,CHN,1975,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,India,IND,1975,15540581.676273
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Russian Federation,RUS,1975,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,South Africa,ZAF,1975,90773193.9772858
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Brazil,BRA,1976,4000000.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,China,CHN,1976,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,India,IND,1976,7925275.59120974
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Russian Federation,RUS,1976,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,South Africa,ZAF,1976,100049999.913
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Brazil,BRA,1977,16000000.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,China,CHN,1977,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,India,IND,1977,7655250.95588486
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Russian Federation,RUS,1977,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,South Africa,ZAF,1977,83949999.927
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Brazil,BRA,1978,37000000.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,China,CHN,1978,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,India,IND,1978,17659839.4455145
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Russian Federation,RUS,1978,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,South Africa,ZAF,1978,87399999.924
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Brazil,BRA,1979,187000000.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,China,CHN,1979,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,India,IND,1979,11908448.1271945
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Russian Federation,RUS,1979,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,South Africa,ZAF,1979,108332656.078469
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Brazil,BRA,1980,158000000.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,China,CHN,1980,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,India,IND,1980,12467070.8635094
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,Russian Federation,RUS,1980,0.0
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,South Africa,ZAF,1980,136394593.202956
