SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,1970,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,China,CHN,1970,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,India,IND,1970,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Russian Federation,RUS,1970,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,South Africa,ZAF,1970,817599673.28717
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,1971,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,China,CHN,1971,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,India,IND,1971,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Russian Federation,RUS,1971,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,South Africa,ZAF,1971,947870943.660001
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,1972,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,China,CHN,1972,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,India,IND,1972,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Russian Federation,RUS,1972,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,South Africa,ZAF,1972,904794288.064193
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,1973,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,China,CHN,1973,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,India,IND,1973,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Russian Federation,RUS,1973,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,South Africa,ZAF,1973,1175690652.76573
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,1974,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,China,CHN,1974,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,India,IND,1974,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Russian Federation,RUS,1974,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,South Africa,ZAF,1974,1500130345.58578
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,1975,2504000000.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,China,CHN,1975,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,India,IND,1975,1054429279.17305
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Russian Federation,RUS,1975,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,South Africa,ZAF,1975,1837287486.07901
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,1976,2603000000.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,China,CHN,1976,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,India,IND,1976,1140339679.02635
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Russian Federation,RUS,1976,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,South Africa,ZAF,1976,1523749998.675
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,1977,2793000000.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,China,CHN,1977,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,India,IND,1977,1286195618.38039
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Russian Federation,RUS,1977,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,South Africa,ZAF,1977,1804349998.431
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,1978,3074000000.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,China,CHN,1978,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,India,IND,1978,1555185643.21346
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Russian Federation,RUS,1978,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,South Africa,ZAF,1978,2105649998.169
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,1979,3799000000.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,China,CHN,1979,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,India,IND,1979,2119707072.13335
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Russian Federation,RUS,1979,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,South Africa,ZAF,1979,2455691049.86636
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,1980,4871000000.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,China,CHN,1980,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,India,IND,1980,2981250139.57393
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Russian Federation,RUS,1980,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,South Africa,ZAF,1980,3365703008.0918
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,1981,5138000000.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,China,CHN,1981,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,India,IND,1981,3248934601.12185
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Russian Federation,RUS,1981,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,South Africa,ZAF,1981,3945957229.80024
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,1982,5397000000.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,China,CHN,1982,2024000000.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,India,IND,1982,3471435845.60141
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Russian Federation,RUS,1982,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,South Africa,ZAF,1982,3427757285.66262
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,1983,4131000000.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,China,CHN,1983,1994000000.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,India,IND,1983,3705025624.46395
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Russian Federation,RUS,1983,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,South Africa,ZAF,1983,3217022594.04633
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,1984,3696000000.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,China,CHN,1984,2857000000.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,India,IND,1984,3641498270.92706
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Russian Federation,RUS,1984,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,South Africa,ZAF,1984,2931709020.54648
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,1985,3790000000.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,China,CHN,1985,2524000000.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,India,IND,1985,3902932257.51467
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Russian Federation,RUS,1985,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,South Africa,ZAF,1985,2277114730.76683
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Brazil,BRA,1986,4389000000.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,China,CHN,1986,2276000000.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,India,IND,1986,3945325642.70595
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,Russian Federation,RUS,1986,0.0
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,South Africa,ZAF,1986,2729281727.02768
