SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Brazil,BRA,1970,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,China,CHN,1970,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,India,IND,1970,4.72812920501366
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Russian Federation,RUS,1970,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,South Africa,ZAF,1970,5.9023505795506
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Brazil,BRA,1971,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,China,CHN,1971,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,India,IND,1971,3.87723388768634
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Russian Federation,RUS,1971,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,South Africa,ZAF,1971,4.88362412603462
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Brazil,BRA,1972,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,China,CHN,1972,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,India,IND,1972,3.08609695713091
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Russian Federation,RUS,1972,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,South Africa,ZAF,1972,3.62951054188159
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Brazil,BRA,1973,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,China,CHN,1973,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,India,IND,1973,3.30072194291249
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Russian Federation,RUS,1973,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,South Africa,ZAF,1973,5.93353095181435
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Brazil,BRA,1974,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,China,CHN,1974,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,India,IND,1974,3.76513454457732
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Russian Federation,RUS,1974,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,South Africa,ZAF,1974,6.53175188370739
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Brazil,BRA,1975,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,China,CHN,1975,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,India,IND,1975,6.09882460822311
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Russian Federation,RUS,1975,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,South Africa,ZAF,1975,5.39695382420835
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Brazil,BRA,1976,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,China,CHN,1976,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,India,IND,1976,4.60195348122714
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Russian Federation,RUS,1976,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,South Africa,ZAF,1976,2.9605927370429
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Brazil,BRA,1977,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,China,CHN,1977,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,India,IND,1977,4.65068033434557
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Russian Federation,RUS,1977,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,South Africa,ZAF,1977,-0.543820097668473
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Brazil,BRA,1978,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,China,CHN,1978,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,India,IND,1978,6.29602640729053
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Russian Federation,RUS,1978,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,South Africa,ZAF,1978,1.99105375916201
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Brazil,BRA,1979,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,China,CHN,1979,7.80000000000005
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,India,IND,1979,2.59334464543437
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Russian Federation,RUS,1979,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,South Africa,ZAF,1979,2.37874612889858
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Brazil,BRA,1980,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,China,CHN,1980,6.12244897959179
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,India,IND,1980,3.45005111159635
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Russian Federation,RUS,1980,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,South Africa,ZAF,1980,6.64156670063616
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Brazil,BRA,1981,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,China,CHN,1981,9.52797202797227
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,India,IND,1981,5.67664301723295
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Russian Federation,RUS,1981,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,South Africa,ZAF,1981,5.48146919136391
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Brazil,BRA,1982,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,China,CHN,1982,12.6895450917792
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,India,IND,1982,7.49528759333622
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Russian Federation,RUS,1982,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,South Africa,ZAF,1982,1.64645028585268
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Brazil,BRA,1983,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,China,CHN,1983,14.6600566572238
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,India,IND,1983,6.41267007251972
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Russian Federation,RUS,1983,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,South Africa,ZAF,1983,2.87412248201812
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Brazil,BRA,1984,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,China,CHN,1984,19.3329215565164
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,India,IND,1984,6.57613378820778
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Russian Federation,RUS,1984,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,South Africa,ZAF,1984,5.78479046315923
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Brazil,BRA,1985,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,China,CHN,1985,18.1677018633543
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,India,IND,1985,7.83198952572688
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Russian Federation,RUS,1985,0.0
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,South Africa,ZAF,1985,-0.563731153700459
"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,Brazil,BRA,1986,0.0
