SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Brazil,BRA,1970,6760075478.02751
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,China,CHN,1970,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,India,IND,1970,4584219618.51607
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Russian Federation,RUS,1970,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,South Africa,ZAF,1970,1079399568.67193
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Brazil,BRA,1971,7059980540.69804
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,China,CHN,1971,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,India,IND,1971,5330050403.08817
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Russian Federation,RUS,1971,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,South Africa,ZAF,1971,1208025118.37081
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Brazil,BRA,1972,8675090019.70557
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,China,CHN,1972,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,India,IND,1972,5790323005.50937
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Russian Federation,RUS,1972,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,South Africa,ZAF,1972,1212396777.03249
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Brazil,BRA,1973,11345855003.7278
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,China,CHN,1973,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,India,IND,1973,6386493125.38399
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Russian Federation,RUS,1973,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,South Africa,ZAF,1973,1560610709.02926
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Brazil,BRA,1974,13762069517.4381
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,China,CHN,1974,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,India,IND,1974,7700535251.99368
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Russian Federation,RUS,1974,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,South Africa,ZAF,1974,1796970307.43405
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Brazil,BRA,1975,14480620249.7791
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,China,CHN,1975,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,India,IND,1975,8585605384.7765
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Russian Federation,RUS,1975,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,South Africa,ZAF,1975,1913434970.58118
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Brazil,BRA,1976,18194355957.5889
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,China,CHN,1976,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,India,IND,1976,9174587664.69465
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Russian Federation,RUS,1976,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,South Africa,ZAF,1976,1915899998.334
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Brazil,BRA,1977,20938271685.1498
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,China,CHN,1977,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,India,IND,1977,10040987232.9156
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Russian Federation,RUS,1977,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,South Africa,ZAF,1977,2391999997.92
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Brazil,BRA,1978,23081584811.0286
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,China,CHN,1978,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,India,IND,1978,12323472761.5683
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Russian Federation,RUS,1978,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,South Africa,ZAF,1978,2948599997.436
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Brazil,BRA,1979,22794833959.7558
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,China,CHN,1979,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,India,IND,1979,14425001798.7341
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Russian Federation,RUS,1979,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,South Africa,ZAF,1979,3711301802.13553
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Brazil,BRA,1980,22699523954.4242
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,China,CHN,1980,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,India,IND,1980,16873597210.988
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Russian Federation,RUS,1980,0.0
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,South Africa,ZAF,1980,4825163343.77546
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,Brazil,BRA,1981,26987878437.9072
