SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1970,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1970,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1970,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1970,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1970,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1971,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1971,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1971,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1971,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1971,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1972,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1972,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1972,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1972,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1972,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1973,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1973,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1973,74796800.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1973,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1973,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1974,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1974,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1974,608514556.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1974,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1974,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1975,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1975,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1975,817523224.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1975,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1975,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1976,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1976,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1976,472063147.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1976,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1976,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1977,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1977,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1977,151960221.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1977,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1977,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1978,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1978,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1978,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1978,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1978,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1979,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1979,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1979,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1979,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1979,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1980,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1980,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1980,1013962428.7
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1980,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1980,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1981,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1981,884059046.9
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1981,1623734675.6
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1981,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1981,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1982,550200000.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1982,837842329.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1982,3524446378.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1982,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1982,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1983,2644300000.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1983,324059292.7
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1983,4636427497.6
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1983,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1983,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1984,4185370000.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1984,303401460.7
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1984,4406542876.9
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1984,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1984,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1985,4619300000.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1985,339990647.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1985,4663026863.5
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1985,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1985,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1986,4501170000.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1986,1071881716.8
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1986,4536691007.2
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1986,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1986,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1987,3976342252.8
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1987,1155346773.4
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1987,4113563559.9
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1987,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1987,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1988,3333055328.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1988,1012623101.6
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1988,2678419377.8
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1988,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1988,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1989,2422469977.6
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1989,907536555.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1989,1582264409.9
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1989,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1989,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1990,1820549548.8
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1990,469216030.6
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1990,2771330298.7
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1990,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1990,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1991,1237526548.8
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1991,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1991,3598349793.5
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1991,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1991,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1992,799423625.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1992,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1992,4720474000.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1992,988625000.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1992,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1993,303585594.1
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1993,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1993,4901188815.2
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1993,2468664962.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1993,843956441.2
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1994,186130869.1
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1994,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1994,4033829654.8
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1994,4197871534.2
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1994,896975607.0
