SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Brazil,BRA,1970,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,China,CHN,1970,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,India,IND,1970,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Russian Federation,RUS,1970,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,South Africa,ZAF,1970,46199981.5384874
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Brazil,BRA,1971,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,China,CHN,1971,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,India,IND,1971,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Russian Federation,RUS,1971,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,South Africa,ZAF,1971,47527375.6763246
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Brazil,BRA,1972,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,China,CHN,1972,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,India,IND,1972,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Russian Federation,RUS,1972,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,South Africa,ZAF,1972,63773980.2137103
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Brazil,BRA,1973,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,China,CHN,1973,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,India,IND,1973,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Russian Federation,RUS,1973,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,South Africa,ZAF,1973,78078851.9005019
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Brazil,BRA,1974,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,China,CHN,1974,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,India,IND,1974,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Russian Federation,RUS,1974,0.0
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,South Africa,ZAF,1974,72148373.0902195
