SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Brazil,BRA,1970,37860210598.331
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,China,CHN,1970,85255614965.4135
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,India,IND,1970,57767200037.5326
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Russian Federation,RUS,1970,0.0
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,South Africa,ZAF,1970,0.0
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Brazil,BRA,1971,44146195735.4807
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,China,CHN,1971,91788922046.743
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,India,IND,1971,62191494974.5308
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Russian Federation,RUS,1971,0.0
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,South Africa,ZAF,1971,17100279124.9458
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Brazil,BRA,1972,52523403588.3256
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,China,CHN,1972,104255230809.67
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,India,IND,1972,65898140378.4652
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Russian Federation,RUS,1972,0.0
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,South Africa,ZAF,1972,17816093486.6705
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Brazil,BRA,1973,70588196581.061
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,China,CHN,1973,126665493273.291
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,India,IND,1973,79061849105.7543
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Russian Federation,RUS,1973,0.0
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,South Africa,ZAF,1973,24608214841.5011
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Brazil,BRA,1974,93417046174.0131
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,China,CHN,1974,128825420845.201
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,India,IND,1974,91426900557.2941
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Russian Federation,RUS,1974,0.0
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,South Africa,ZAF,1974,30498283486.414
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Brazil,BRA,1975,108683789401.842
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,China,CHN,1975,143484112844.701
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,India,IND,1975,89221225735.4169
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Russian Federation,RUS,1975,0.0
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,South Africa,ZAF,1975,30716327381.774
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Brazil,BRA,1976,133601831757.243
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,China,CHN,1976,133010603993.041
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,India,IND,1976,93340994416.2078
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Russian Federation,RUS,1976,0.0
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,South Africa,ZAF,1976,28805559234.7963
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Brazil,BRA,1977,154413859943.594
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,China,CHN,1977,150533446814.467
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,India,IND,1977,109652472409.908
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Russian Federation,RUS,1977,0.0
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,South Africa,ZAF,1977,31614524521.7726
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Brazil,BRA,1978,174349980846.05
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,China,CHN,1978,127143770598.216
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,India,IND,1978,123796971668.041
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Russian Federation,RUS,1978,0.0
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,South Africa,ZAF,1978,36364546659.2316
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Brazil,BRA,1979,193614112899.199
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,China,CHN,1979,143943863089.386
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,India,IND,1979,137344350602.623
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Russian Federation,RUS,1979,0.0
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,South Africa,ZAF,1979,43840565680.6844
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Brazil,BRA,1980,198695414612.892
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,China,CHN,1980,151282778400.088
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,India,IND,1980,168341582970.511
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Russian Federation,RUS,1980,0.0
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,South Africa,ZAF,1980,61367693320.9665
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Brazil,BRA,1981,221002907467.345
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,China,CHN,1981,154651473856.753
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,India,IND,1981,173183122423.973
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Russian Federation,RUS,1981,0.0
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,South Africa,ZAF,1981,63895363196.9229
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Brazil,BRA,1982,233283449826.36
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,China,CHN,1982,166620429941.25
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,India,IND,1982,177686851919.012
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Russian Federation,RUS,1982,0.0
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,South Africa,ZAF,1982,58000911636.3944
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Brazil,BRA,1983,164014731837.441
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,China,CHN,1983,192764530399.403
