SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1970,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1970,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1970,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1970,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1970,-7.00060808756463
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1971,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1971,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1971,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1971,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1971,-7.31855694355559
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1972,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1972,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1972,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1972,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1972,-0.899227592672826
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1973,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1973,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1973,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1973,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1973,-0.882024237371057
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1974,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1974,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1974,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1974,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1974,-3.90599922923316
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1975,-5.63255607078097
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1975,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1975,-0.149804625956451
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1975,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1975,-6.2892822497722
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1976,-4.27042476753516
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1976,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1976,1.53710181455245
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1976,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1976,-5.22479499827202
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1977,-2.86596082881762
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1977,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1977,1.74441602927954
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1977,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1977,0.588418342810263
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1978,-3.48404827032519
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1978,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1978,0.504279977724666
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1978,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1978,2.35218856875723
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1979,-4.67441165219712
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1979,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1979,0.032901780388765
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1979,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1979,5.14356560067481
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1980,-5.45942852599605
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1980,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1980,-0.958069193736013
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1980,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1980,3.80980091585092
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1981,-4.46348133013702
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1981,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1981,-1.39455463322899
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1981,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1981,-5.82575543725448
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1982,-5.79269615412952
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1982,2.76659432624214
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1982,-1.25727624640286
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1982,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1982,-4.49588097923296
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1983,-3.36146001651862
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1983,1.83799028436738
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1983,-0.887437671631729
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1983,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1983,-0.369754435695576
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1984,0.0157876673411344
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1984,0.7809298892012
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1984,-1.08931421632656
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1984,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1984,-2.5234971359263
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1985,-0.125592758327504
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1985,-3.68899568389975
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1985,-1.7808050008629
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1985,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1985,3.82744553159947
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1986,-1.98070223384813
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1986,-2.33875662783206
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1986,-1.8345205594861
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1986,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1986,4.09639925726468
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1987,-0.493736294758179
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1987,0.109900989377698
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1987,-1.85324243711728
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1987,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1987,5.76322884167726
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1988,1.25787921649422
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1988,-1.21721011703892
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1988,-2.40846174511911
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1988,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1988,2.66201765798308
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1989,0.235434925257987
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1989,-1.24134462142706
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1989,-2.30128198070621
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1989,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1989,1.51265327787404
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1990,-0.827575549865505
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1990,3.3245772317122
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1990,-2.19193586906409
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1990,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1990,1.34274298514104
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1991,-0.240520187108118
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1991,3.46189976557133
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1991,-1.58891131223691
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1991,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1991,1.12884361205231
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1992,1.51997289061325
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1992,1.49935919653793
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1992,-1.55624303576307
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1992,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1992,1.47175544576296
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1993,0.0045683108674823
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1993,-2.61034032424978
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1993,-0.671617970165836
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1993,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1993,2.08710388846159
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1994,-0.206589359334755
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1994,1.22411802410261
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1994,-0.512192660313156
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1994,2.26332668866148
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1994,0.0211949810694619
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1995,-2.35745132241794
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1995,0.220324638314351
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1995,-1.54413162705262
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1995,1.88045783512905
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1995,-1.60377781430889
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1996,-2.73368737119507
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1996,0.838556008748969
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1996,-1.51595424702011
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1996,2.57898342400441
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1996,-1.13693677193358
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1997,-3.45233389210181
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1997,3.84389018852671
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1997,-0.713014000170034
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1997,-0.206268282708236
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1997,-1.45972516265426
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1998,-3.91664733691129
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1998,3.05837530758482
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1998,-1.63832471037648
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1998,0.026225709921156
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1998,-1.59617452041888
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1999,-4.23765164171248
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1999,1.93007794733077
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1999,-0.70354820631743
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1999,11.6664565462153
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1999,-0.494207050142127
