SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1970,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1970,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1970,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1970,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1970,-1289399484.75597
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1971,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1971,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1971,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1971,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1971,-1488132777.64107
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1972,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1972,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1972,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1972,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1972,-192051956.956081
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1973,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1973,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1973,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1973,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1973,-258394951.473186
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1974,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1974,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1974,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1974,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1974,-1437709300.09144
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1975,-6968000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1975,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1975,-147516804.401437
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1975,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1975,-2397131175.73789
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1976,-6520000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1976,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1976,1578867398.86208
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1976,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1976,-1912449998.337
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1977,-5049000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1977,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1977,2119244326.78419
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1977,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1977,239199999.792
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1978,-6996000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1978,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1978,692377898.595274
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1978,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1978,1099399999.044
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1979,-10516000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1979,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1979,50336977.9440679
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1979,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1979,2965045476.42112
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1980,-12831000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1980,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1980,-1785125731.42725
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1980,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1980,3161391216.18901
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1981,-11764000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1981,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1981,-2698332267.06569
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1981,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1981,-4978365548.89199
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1982,-16317000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1982,5674000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1982,-2523543845.5558
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1982,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1982,-3525807428.47985
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1983,-6834000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1983,4240000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1983,-1936941637.20106
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1983,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1983,-323223987.976598
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1984,33000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1984,2030000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1984,-2311069805.85649
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1984,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1984,-1951775969.24327
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1985,-280000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1985,-11417000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1985,-4140583148.21129
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1985,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1985,2261355818.81972
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1986,-5311000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1986,-7034000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1986,-4567699250.98168
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1986,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1986,2765954425.45986
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1987,-1452000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1987,300000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1987,-5171168794.20521
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1987,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1987,5104704864.42218
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1988,4156000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1988,-3802000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1988,-7143232480.28175
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1988,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1988,2533618988.8443
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1989,1002000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1989,-4317000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1989,-6812769370.55401
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1989,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1989,1497993501.86637
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1990,-3823000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1990,11997000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1990,-7035654412.26464
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1990,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1990,1551571060.83907
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1991,-1450000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1991,13272000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1991,-4291734332.07521
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1991,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1991,1399119919.33859
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1992,6089000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1992,6401000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1992,-4485223626.33251
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1992,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1992,1980166934.35487
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1993,20000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1993,-11609000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1993,-1875802280.34537
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1993,0.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1993,2803148534.3134
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1994,-1153000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1994,6908000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1994,-1676281517.88667
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1994,8941890000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1994,29620519.2570562
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1995,-18136000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1995,1618390000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1995,-5563227578.46281
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1995,7437910000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1995,-2493247873.02849
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1996,-23248000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1996,7243000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1996,-5956139581.80651
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1996,10102520000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1996,-1678190241.8336
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1997,-30491000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1997,36963000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1997,-2965195307.24208
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1997,-835240000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1997,-2227357021.24976
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Brazil,BRA,1998,-33829000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,China,CHN,1998,31472000000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,India,IND,1998,-6903105373.49659
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,Russian Federation,RUS,1998,71060000.0
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,South Africa,ZAF,1998,-2199125544.60138
