SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,1970,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,1970,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,India,IND,1970,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Russian Federation,RUS,1970,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,South Africa,ZAF,1970,3904598439.72246
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,1971,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,1971,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,India,IND,1971,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Russian Federation,RUS,1971,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,South Africa,ZAF,1971,4325492163.13433
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,1972,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,1972,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,India,IND,1972,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Russian Federation,RUS,1972,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,South Africa,ZAF,1972,5254926553.11979
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,1973,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,1973,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,India,IND,1973,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Russian Federation,RUS,1973,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,South Africa,ZAF,1973,7230920097.51479
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,1974,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,1974,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,India,IND,1974,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Russian Federation,RUS,1974,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,South Africa,ZAF,1974,9996662197.19107
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,1975,9552000000.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,1975,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,India,IND,1975,5506716461.9692
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Russian Federation,RUS,1975,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,South Africa,ZAF,1975,10323214081.4409
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,1976,10979000000.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,1976,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,India,IND,1976,6466191483.17676
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Russian Federation,RUS,1976,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,South Africa,ZAF,1976,9840549991.443
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,1977,13130000000.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,1977,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,India,IND,1977,7565571017.55048
