SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1970,4120.32341307412
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1970,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1970,344.987343227426
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1970,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1970,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1971,4488.20154586171
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1971,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1971,341.671760895994
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1971,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1971,4087.34822087197
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1972,4923.76345608355
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1972,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1972,338.396150999205
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1972,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1972,4150.61711389076
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1973,5395.50140804279
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1973,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1973,344.264517599618
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1973,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1973,4605.13714876312
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1974,5541.3269935576
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1974,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1974,322.037802185651
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1974,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1974,4733.14760144564
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1975,5570.05497183709
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1975,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1975,330.014671047177
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1975,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1975,4349.67162584708
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1976,6192.63121741253
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1976,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1976,347.303682408496
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1976,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1976,4152.30632359541
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1977,6464.62917920086
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1977,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1977,364.358783971317
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1977,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1977,4015.86257767386
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1978,6422.28106302758
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1978,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1978,371.95107134846
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1978,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1978,4105.34688444697
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1979,6679.05539816414
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1979,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1979,352.97484160186
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1979,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1979,4127.37225688442
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1980,6879.46652890978
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1980,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1980,375.030224083598
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1980,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1980,4437.4642636087
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1981,6443.2566074702
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1981,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1981,378.73957341648
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1981,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1981,4350.62690642166
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1982,6293.7086648546
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1982,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1982,375.021297001286
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1982,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1982,4223.06354330196
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1983,6070.18391327762
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1983,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1983,396.278559191602
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1983,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1983,4193.76713948743
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1984,6443.34367007903
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1984,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1984,398.621495185456
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1984,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1984,4425.8946702711
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1985,6527.08040394074
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1985,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1985,406.443213384656
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1985,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1985,4020.72980214284
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1986,6845.89647592282
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1986,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1986,414.446359430343
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1986,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1986,3848.87101483973
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1987,6906.07696719215
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1987,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1987,426.609760249669
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1987,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1987,4028.52662650016
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1988,6880.25882993322
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1988,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1988,450.747316395798
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1988,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1988,4094.92521880692
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1989,7541.52805038778
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1989,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1989,466.541530643416
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1989,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,South Africa,ZAF,1989,4121.95901956412
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Brazil,BRA,1990,6437.00003095498
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,China,CHN,1990,0.0
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,India,IND,1990,484.384724977529
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,Russian Federation,RUS,1990,0.0
