SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1970,398.053947557483
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1970,104.184348283257
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1970,104.049463570707
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1970,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1970,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1971,452.860826650255
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1971,109.128969684811
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1971,109.517516400318
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1971,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1971,754.47053445537
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1972,525.973644242581
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1972,120.941534296567
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1972,113.404896937656
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1972,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1972,765.246541876519
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1973,690.284997011681
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1973,143.621440543904
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1973,132.928411475608
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1973,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1973,1029.06841315302
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1974,892.182582868811
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1974,143.083712828568
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1974,150.174950890969
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1974,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1974,1242.16408919053
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1975,1013.68808382876
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1975,156.574526099227
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1975,143.188590784897
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1975,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1975,1219.13472528598
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1976,1216.87485498341
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1976,142.916888091074
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1976,146.38737462244
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1976,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1976,1114.90049555489
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1977,1373.47851047381
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1977,159.555513314856
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1977,168.073263946879
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1977,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1977,1193.86082050013
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1978,1514.4912668313
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1978,132.97262564329
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1978,185.463681869656
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1978,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1978,1339.93859600879
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1979,1642.49001370742
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1979,148.548111815095
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1979,201.091193078047
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1979,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1979,1575.45051699856
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1980,1646.27404673327
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1980,154.175888956354
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1980,240.848269544363
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1980,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1980,2148.9718714665
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1981,1788.47877830205
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1981,155.602986116858
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1981,242.083806787338
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1981,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1981,2178.26812243229
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1982,1844.16252240611
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1982,165.19479882737
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1982,242.662204030735
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1982,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1982,1923.71641165645
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1983,1267.02377900752
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1983,188.37354310952
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1983,258.483878310165
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1983,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1983,2100.07886161916
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1984,1275.86951269973
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1984,213.140511456227
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1984,244.375222171942
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1984,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1984,1877.18582904973
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1985,1328.08892198784
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1985,251.105960496155
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1985,260.183885819733
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1985,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1985,1315.7229296208
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1986,1593.35914198496
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1986,245.387783128399
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1986,273.982002085881
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1986,0.0
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1986,1468.67805578008
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1987,1730.28746559764
