SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,Brazil,BRA,1970,79.8782848896729
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,China,CHN,1970,63.898573062245
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,India,IND,1970,88.631912058513
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,Russian Federation,RUS,1970,0.0
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,South Africa,ZAF,1970,70.7053815749468
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,Brazil,BRA,1971,80.6067582765623
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,China,CHN,1971,63.2098445683585
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,India,IND,1971,89.9534069738453
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,Russian Federation,RUS,1971,0.0
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,South Africa,ZAF,1971,72.5022347521144
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,Brazil,BRA,1972,80.4140802748319
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,China,CHN,1972,64.2822362678264
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,India,IND,1972,89.6071544368723
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,Russian Federation,RUS,1972,0.0
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,South Africa,ZAF,1972,71.0317943720307
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,Brazil,BRA,1973,77.9858186717704
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,China,CHN,1973,63.4529725673028
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,India,IND,1973,87.9139401197207
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,Russian Federation,RUS,1973,0.0
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,South Africa,ZAF,1973,66.8421052631579
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,Brazil,BRA,1974,80.4819214703121
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,China,CHN,1974,63.928552625809
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,India,IND,1974,90.2385354738532
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,Russian Federation,RUS,1974,0.0
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,South Africa,ZAF,1974,64.6861255497801
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,Brazil,BRA,1975,77.1281348378006
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,China,CHN,1975,61.9918448396118
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,India,IND,1975,87.2222588057793
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,Russian Federation,RUS,1975,0.0
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,South Africa,ZAF,1975,69.8431845597105
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,Brazil,BRA,1976,79.2806936088541
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,China,CHN,1976,65.8238064578732
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,India,IND,1976,84.7892602418212
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,Russian Federation,RUS,1976,0.0
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,South Africa,ZAF,1976,70.6274152502435
