SeriesName,SeriesCode,CountryName,CountryCode,Year
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Brazil,BRA,1970
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,China,CHN,1970
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,India,IND,1970
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Russian Federation,RUS,1970
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,South Africa,ZAF,1970
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Brazil,BRA,1971
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,China,CHN,1971
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,India,IND,1971
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Russian Federation,RUS,1971
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,South Africa,ZAF,1971
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Brazil,BRA,1972
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,China,CHN,1972
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,India,IND,1972
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Russian Federation,RUS,1972
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,South Africa,ZAF,1972
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Brazil,BRA,1973
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,China,CHN,1973
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,India,IND,1973
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Russian Federation,RUS,1973
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,South Africa,ZAF,1973
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Brazil,BRA,1974
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,China,CHN,1974
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,India,IND,1974
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Russian Federation,RUS,1974
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,South Africa,ZAF,1974
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Brazil,BRA,1975
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,China,CHN,1975
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,India,IND,1975
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Russian Federation,RUS,1975
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,South Africa,ZAF,1975
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Brazil,BRA,1976
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,China,CHN,1976
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,India,IND,1976
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Russian Federation,RUS,1976
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,South Africa,ZAF,1976
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Brazil,BRA,1977
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,China,CHN,1977
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,India,IND,1977
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Russian Federation,RUS,1977
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,South Africa,ZAF,1977
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Brazil,BRA,1978
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,China,CHN,1978
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,India,IND,1978
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Russian Federation,RUS,1978
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,South Africa,ZAF,1978
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Brazil,BRA,1979
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,China,CHN,1979
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,India,IND,1979
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Russian Federation,RUS,1979
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,South Africa,ZAF,1979
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Brazil,BRA,1980
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,China,CHN,1980
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,India,IND,1980
Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,Russian Federation,RUS,1980
