SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,1970,6.06348476167284
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,1970,16.0503992924726
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,1970,2.86436297953412
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1970,0.0
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,1970,2.51274833265028
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,1971,8.58967999860471
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,1971,4.15917620599429
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,1971,-0.626350508612447
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1971,0.0
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,1971,1.53920148973508
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,1972,9.38615911052001
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,1972,1.2901059690867
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,1972,-2.81562863876793
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1972,0.0
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,1972,-1.03593246233615
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,1973,11.3035185712259
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,1973,5.32729301473751
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,1973,0.919174488268879
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1973,0.0
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,1973,1.81004994869957
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,1974,6.49410052152012
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,1974,0.218005664944926
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,1974,-1.14691361962363
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1974,0.0
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,1974,3.34752128784459
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,1975,2.74605720937593
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,1975,6.81644050919941
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,1975,6.64490655447061
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1975,0.0
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,1975,-0.89847083928251
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,1976,7.21568953994129
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,1976,-3.08132198597882
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,1976,-0.653097014249326
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1976,0.0
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,1976,-0.289638079824655
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,1977,2.15508771060036
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,1977,6.11400167387856
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,1977,4.82517616230072
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1977,0.0
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,1977,-2.52378523476085
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,1978,0.814360454574057
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,1978,9.84648366581251
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,1978,3.32255237845922
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1978,0.0
