SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;Brazil;BRA;1970.0;
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;China;CHN;1970.0;
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;India;IND;1970.0;5.18257644767482
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;Russian Federation;RUS;1970.0;
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;South Africa;ZAF;1970.0;5.24030965896851
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;Brazil;BRA;1971.0;11.6904377301284
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;China;CHN;1971.0;
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;India;IND;1971.0;1.66865664063978
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;Russian Federation;RUS;1971.0;
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;South Africa;ZAF;1971.0;4.64550547821956
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;Brazil;BRA;1972.0;12.3445233745099
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;China;CHN;1972.0;
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;India;IND;1972.0;-0.531886881110282
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;Russian Federation;RUS;1972.0;
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;South Africa;ZAF;1972.0;1.51292062114685
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;Brazil;BRA;1973.0;13.6041149846137
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;China;CHN;1973.0;
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;India;IND;1973.0;3.35606694818233
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;Russian Federation;RUS;1973.0;
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;South Africa;ZAF;1973.0;4.4625463475659
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;Brazil;BRA;1974.0;9.45905394410995
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;China;CHN;1974.0;
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;India;IND;1974.0;1.31713816465482
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;Russian Federation;RUS;1974.0;
GNI growth (annual %);NY.GNP.MKTP.KD.ZG;South Africa;ZAF;1974.0;5.8633907751755
