SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Brazil;BRA;1970.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;China;CHN;1970.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;India;IND;1970.0;-5.54665996976901
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Russian Federation;RUS;1970.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;South Africa;ZAF;1970.0;14.2717004965297
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Brazil;BRA;1971.0;15.3484632552329
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;China;CHN;1971.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;India;IND;1971.0;10.3970656983541
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Russian Federation;RUS;1971.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;South Africa;ZAF;1971.0;10.8105883321378
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Brazil;BRA;1972.0;16.7146909135573
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;China;CHN;1972.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;India;IND;1972.0;4.29783746387267
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Russian Federation;RUS;1972.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;South Africa;ZAF;1972.0;5.84208850684496
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Brazil;BRA;1973.0;20.9906713668287
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;China;CHN;1973.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;India;IND;1973.0;-2.63683712200368
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Russian Federation;RUS;1973.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;South Africa;ZAF;1973.0;5.22183787035647
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Brazil;BRA;1974.0;13.2586211181575
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;China;CHN;1974.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;India;IND;1974.0;3.84659112655312
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Russian Federation;RUS;1974.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;South Africa;ZAF;1974.0;6.52973518957909
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Brazil;BRA;1975.0;9.73434430746802
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;China;CHN;1975.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;India;IND;1975.0;-1.79430023712249
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Russian Federation;RUS;1975.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;South Africa;ZAF;1975.0;9.75754838074879
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Brazil;BRA;1976.0;7.02719777232579
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;China;CHN;1976.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;India;IND;1976.0;10.9319135379163
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Russian Federation;RUS;1976.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;South Africa;ZAF;1976.0;-1.23549354544269
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Brazil;BRA;1977.0;-1.17063631965641
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;China;CHN;1977.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;India;IND;1977.0;13.5245271383117
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Russian Federation;RUS;1977.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;South Africa;ZAF;1977.0;-5.96181140046869
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Brazil;BRA;1978.0;4.74768698844348
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;China;CHN;1978.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;India;IND;1978.0;5.17203033856374
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Russian Federation;RUS;1978.0;
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;South Africa;ZAF;1978.0;-2.77282977808588
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;Brazil;BRA;1979.0;3.88568400023379
Gross fixed capital formation (annual % growth);NE.GDI.FTOT.KD.ZG;China;CHN;1979.0;
