SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Brazil;BRA;1970.0;97613216125.8601
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;China;CHN;1970.0;
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;India;IND;1970.0;39799278327.2815
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Russian Federation;RUS;1970.0;
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;South Africa;ZAF;1970.0;23230344752.2264
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Brazil;BRA;1971.0;112595344735.189
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;China;CHN;1971.0;
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;India;IND;1971.0;43937235442.4397
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Russian Federation;RUS;1971.0;
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;South Africa;ZAF;1971.0;25741681691.526
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Brazil;BRA;1972.0;131415308590.73
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;China;CHN;1972.0;
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;India;IND;1972.0;45825586407.8748
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Russian Federation;RUS;1972.0;
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;South Africa;ZAF;1972.0;27245533519.0952
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Brazil;BRA;1973.0;159000264142.714
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;China;CHN;1973.0;
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;India;IND;1973.0;44617240334.0961
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Russian Federation;RUS;1973.0;
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;South Africa;ZAF;1973.0;28668251106.376
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Brazil;BRA;1974.0;180081506742.266
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;China;CHN;1974.0;
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;India;IND;1974.0;46333483141.7003
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Russian Federation;RUS;1974.0;
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;South Africa;ZAF;1974.0;30540211987.1059
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Brazil;BRA;1975.0;197611260642.634
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;China;CHN;1975.0;
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;India;IND;1975.0;45502121343.8217
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Russian Federation;RUS;1975.0;
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;South Africa;ZAF;1975.0;33520187947.331
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Brazil;BRA;1976.0;211497794748.378
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;China;CHN;1976.0;
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;India;IND;1976.0;50476373907.0461
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Russian Federation;RUS;1976.0;
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;South Africa;ZAF;1976.0;33106048188.8215
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Brazil;BRA;1977.0;209021924747.781
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;China;CHN;1977.0;
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;India;IND;1977.0;57303064794.5402
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Russian Federation;RUS;1977.0;
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;South Africa;ZAF;1977.0;31132328033.6557
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Brazil;BRA;1978.0;218945631472.026
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;China;CHN;1978.0;
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;India;IND;1978.0;60266796690.6407
Gross fixed capital formation (constant 2010 US$);NE.GDI.FTOT.KD;Russian Federation;RUS;1978.0;
