SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Brazil;BRA;1970.0;9.01763308723039
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;China;CHN;1970.0;7.8183807941277
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;India;IND;1970.0;6.44865001149691
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Russian Federation;RUS;1970.0;
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;South Africa;ZAF;1970.0;11.5756372635388
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Brazil;BRA;1971.0;9.08518248774512
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;China;CHN;1971.0;7.87413261190946
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;India;IND;1971.0;6.68532184460873
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Russian Federation;RUS;1971.0;
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;South Africa;ZAF;1971.0;12.064800343331
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Brazil;BRA;1972.0;9.31063874823148
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;China;CHN;1972.0;8.09349902274359
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;India;IND;1972.0;6.85737475402947
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Russian Federation;RUS;1972.0;
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;South Africa;ZAF;1972.0;12.7031885921464
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Brazil;BRA;1973.0;9.69159768012362
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;China;CHN;1973.0;8.1808630151875
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;India;IND;1973.0;6.55532661379057
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Russian Federation;RUS;1973.0;
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;South Africa;ZAF;1973.0;12.0937800847826
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Brazil;BRA;1974.0;9.83789164357549
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;China;CHN;1974.0;8.33595754875201
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;India;IND;1974.0;7.12098736815946
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Russian Federation;RUS;1974.0;
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;South Africa;ZAF;1974.0;12.0524330826994
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Brazil;BRA;1975.0;10.3531147773231
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;China;CHN;1975.0;8.52243938146055
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;India;IND;1975.0;7.6932683002358
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Russian Federation;RUS;1975.0;
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;South Africa;ZAF;1975.0;13.7605263931307
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Brazil;BRA;1976.0;10.562495063307
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;China;CHN;1976.0;8.91392187795305
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;India;IND;1976.0;7.64800032896811
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Russian Federation;RUS;1976.0;
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;South Africa;ZAF;1976.0;15.2835566621898
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Brazil;BRA;1977.0;10.4674136211711
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;China;CHN;1977.0;9.00447830857964
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;India;IND;1977.0;7.32926589889783
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Russian Federation;RUS;1977.0;
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;South Africa;ZAF;1977.0;15.9849420720326
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Brazil;BRA;1978.0;10.7311923806415
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;China;CHN;1978.0;8.92922622718235
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;India;IND;1978.0;7.74002606215049
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Russian Federation;RUS;1978.0;
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;South Africa;ZAF;1978.0;16.4642039357176
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;Brazil;BRA;1979.0;10.9666546521947
Adjusted savings: consumption of fixed capital (% of GNI);NY.ADJ.DKAP.GN.ZS;China;CHN;1979.0;9.1343972955227
