SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;Brazil;BRA;1970.0;7971917261.70508
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;China;CHN;1970.0;22354596660.9798
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;India;IND;1970.0;9698056143.10134
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;Russian Federation;RUS;1970.0;
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;South Africa;ZAF;1970.0;4654998139.86274
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;Brazil;BRA;1971.0;9729130523.00776
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;China;CHN;1971.0;24796807132.9921
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;India;IND;1971.0;11170633125.8856
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;Russian Federation;RUS;1971.0;
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;South Africa;ZAF;1971.0;5445900273.211
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;Brazil;BRA;1972.0;11880838993.8565
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;China;CHN;1972.0;27997951031.1345
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;India;IND;1972.0;12186213366.6856
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;Russian Federation;RUS;1972.0;
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;South Africa;ZAF;1972.0;5891571891.82419
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;Brazil;BRA;1973.0;17026417445.9026
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;China;CHN;1973.0;33645014386.2471
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;India;IND;1973.0;13603157772.3579
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;Russian Federation;RUS;1973.0;
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;South Africa;ZAF;1973.0;7682008947.21604
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;Brazil;BRA;1974.0;23985056668.301
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;China;CHN;1974.0;38291431791.7601
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;India;IND;1974.0;16525706249.9386
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;Russian Federation;RUS;1974.0;
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;South Africa;ZAF;1974.0;9582369919.49475
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;Brazil;BRA;1975.0;30141749198.4928
Gross fixed capital formation (current US$);NE.GDI.FTOT.CD;China;CHN;1975.0;47473420029.0354
