SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Brazil;BRA;1970.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;China;CHN;1970.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;India;IND;1970.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Russian Federation;RUS;1970.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;South Africa;ZAF;1970.0;25.7297050775312
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Brazil;BRA;1971.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;China;CHN;1971.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;India;IND;1971.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Russian Federation;RUS;1971.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;South Africa;ZAF;1971.0;24.2591829195954
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Brazil;BRA;1972.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;China;CHN;1972.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;India;IND;1972.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Russian Federation;RUS;1972.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;South Africa;ZAF;1972.0;25.6299749624185
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Brazil;BRA;1973.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;China;CHN;1973.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;India;IND;1973.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Russian Federation;RUS;1973.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;South Africa;ZAF;1973.0;29.8089190003875
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Brazil;BRA;1974.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;China;CHN;1974.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;India;IND;1974.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Russian Federation;RUS;1974.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;South Africa;ZAF;1974.0;31.9230951869437
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Brazil;BRA;1975.0;21.5383143252454
Gross savings (% of GDP);NY.GNS.ICTR.ZS;China;CHN;1975.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;India;IND;1975.0;13.0980930038857
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Russian Federation;RUS;1975.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;South Africa;ZAF;1975.0;26.2483907663006
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Brazil;BRA;1976.0;19.2246021898404
Gross savings (% of GDP);NY.GNS.ICTR.ZS;China;CHN;1976.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;India;IND;1976.0;15.9655980746865
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Russian Federation;RUS;1976.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;South Africa;ZAF;1976.0;25.332244179836
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Brazil;BRA;1977.0;19.7832555795757
Gross savings (% of GDP);NY.GNS.ICTR.ZS;China;CHN;1977.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;India;IND;1977.0;15.4049753403989
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Russian Federation;RUS;1977.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;South Africa;ZAF;1977.0;25.7631050383321
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Brazil;BRA;1978.0;19.4895444426402
Gross savings (% of GDP);NY.GNS.ICTR.ZS;China;CHN;1978.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;India;IND;1978.0;15.0582567210123
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Russian Federation;RUS;1978.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;South Africa;ZAF;1978.0;26.7992028147528
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Brazil;BRA;1979.0;18.0256330161995
Gross savings (% of GDP);NY.GNS.ICTR.ZS;China;CHN;1979.0;
Gross savings (% of GDP);NY.GNS.ICTR.ZS;India;IND;1979.0;15.7689874835438
Gross savings (% of GDP);NY.GNS.ICTR.ZS;Russian Federation;RUS;1979.0;
