SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1970.0;3.5992819
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1970.0;1.6102769
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1970.0;2.4661305
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1970.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1970.0;5.0397647
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1971.0;3.5992819
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1971.0;1.4
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1971.0;2.2
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1971.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1971.0;5.0397647
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1972.0;3.5992819
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1972.0;1.5
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1972.0;2.4
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1972.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1972.0;5.0397647
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1973.0;3.0
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1973.0;1.5
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1973.0;2.4
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1973.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1973.0;5.0397647
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1974.0;3.5992819
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1974.0;1.6
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1974.0;2.5610908
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1974.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1974.0;5.0397647
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1975.0;3.5992819
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1975.0;1.6
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1975.0;2.2
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1975.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1975.0;5.0397647
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1976.0;2.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1976.0;1.7
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1976.0;2.4
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1976.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1976.0;5.0397647
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1977.0;3.0
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1977.0;1.7
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1977.0;2.5
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1977.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1977.0;5.0397647
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1978.0;3.2
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1978.0;1.8
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1978.0;2.5
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1978.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1978.0;5.0397647
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1979.0;3.2
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1979.0;1.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1979.0;2.6
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1979.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1979.0;5.0397647
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1980.0;3.5
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1980.0;1.7
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1980.0;2.6
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1980.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1980.0;5.0397647
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1981.0;4.0
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1981.0;1.7
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1981.0;2.6
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1981.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1981.0;5.0397647
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1982.0;4.3
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1982.0;1.8
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1982.0;3.0510585
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1982.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1982.0;5.0397647
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1983.0;3.1
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1983.0;1.8
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1983.0;3.1534367
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1983.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1983.0;5.0397647
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1984.0;2.8
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1984.0;1.7
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1984.0;2.7
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1984.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1984.0;5.0397647
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1985.0;3.4
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1985.0;1.7
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1985.0;2.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1985.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1985.0;5.0397647
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1986.0;4.1
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1986.0;1.8
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1986.0;3.0
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1986.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1986.0;5.0397647
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1987.0;4.2286051
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1987.0;1.6
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1987.0;2.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1987.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1987.0;4.7
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1988.0;4.2
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1988.0;1.6
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1988.0;2.7
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1988.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1988.0;4.8
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1989.0;4.5498782
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1989.0;1.6
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1989.0;3.3
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1989.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1989.0;4.6
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1990.0;4.6342599
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1990.0;1.7861795
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1990.0;3.5
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1990.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1990.0;4.8
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1991.0;4.6342599
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1991.0;1.7861795
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1991.0;3.4
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1991.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1991.0;5.3
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1992.0;4.6342599
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1992.0;1.5
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1992.0;3.3
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1992.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1992.0;6.4341556
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1993.0;4.6342599
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1993.0;1.5
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1993.0;3.2
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1993.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1993.0;5.7
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1994.0;4.6342599
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1994.0;1.8
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1994.0;3.1
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1994.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1994.0;5.5
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1995.0;4.3
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1995.0;1.7
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1995.0;3.1
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1995.0;3.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1995.0;6.4091197
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1996.0;4.226346
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1996.0;1.7
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1996.0;2.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1996.0;3.5443443
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1996.0;5.5
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Brazil;BRA;1997.0;4.226346
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;China;CHN;1997.0;2.0359013
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;India;IND;1997.0;2.9
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;Russian Federation;RUS;1997.0;3.5443443
Adjusted savings: education expenditure (% of GNI);NY.ADJ.AEDU.GN.ZS;South Africa;ZAF;1997.0;6.6
