SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;Brazil;BRA;1970.0;1501928756.85078
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;China;CHN;1970.0;1491164289.92201
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;India;IND;1970.0;1530081479.30478
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;Russian Federation;RUS;1970.0;
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;South Africa;ZAF;1970.0;894799785.393608
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;Brazil;BRA;1971.0;1752280062.53484
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;China;CHN;1971.0;1397213421.07401
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;India;IND;1971.0;1473118747.85529
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;Russian Federation;RUS;1971.0;
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;South Africa;ZAF;1971.0;991722186.223056
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;Brazil;BRA;1972.0;2090295462.24118
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;China;CHN;1972.0;1705313794.48576
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;India;IND;1972.0;1705740924.30189
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;Russian Federation;RUS;1972.0;
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;South Africa;ZAF;1972.0;1040962102.38242
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;Brazil;BRA;1973.0;2351424238.05546
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;China;CHN;1973.0;2078164270.63435
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;India;IND;1973.0;2042446592.14333
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;Russian Federation;RUS;1973.0;
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;South Africa;ZAF;1973.0;1429808870.53064
Adjusted savings: education expenditure (current US$);NY.ADJ.AEDU.CD;Brazil;BRA;1974.0;3754972094.07894
