SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;Brazil;BRA;1970.0;0.0707181588216573
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;China;CHN;1970.0;0.00948482583401647
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;India;IND;1970.0;0.021199641046799
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;Russian Federation;RUS;1970.0;
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;South Africa;ZAF;1970.0;
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;Brazil;BRA;1971.0;0.0903702513605808
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;China;CHN;1971.0;0.0789066810337348
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;India;IND;1971.0;0.0656397477112708
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;Russian Federation;RUS;1971.0;
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;South Africa;ZAF;1971.0;0.599435854173824
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;Brazil;BRA;1972.0;0.081037730678744
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;China;CHN;1972.0;0.140305368104929
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;India;IND;1972.0;0.065702086711953
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;Russian Federation;RUS;1972.0;
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;South Africa;ZAF;1972.0;0.624857521054692
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;Brazil;BRA;1973.0;0.0981333314216808
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;China;CHN;1973.0;0.275479992804277
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;India;IND;1973.0;0.071334258575538
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;Russian Federation;RUS;1973.0;
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;South Africa;ZAF;1973.0;0.591216362301211
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;Brazil;BRA;1974.0;0.39721929001475
Adjusted savings: energy depletion (% of GNI);NY.ADJ.DNGY.GN.ZS;China;CHN;1974.0;2.12630748862126
