SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net bilateral aid flows from DAC donors, Austria (current US$);DC.DAC.AUTL.CD;Brazil;BRA;1970.0;610000.014305115
Net bilateral aid flows from DAC donors, Austria (current US$);DC.DAC.AUTL.CD;China;CHN;1970.0;
Net bilateral aid flows from DAC donors, Austria (current US$);DC.DAC.AUTL.CD;India;IND;1970.0;1230000.01907349
Net bilateral aid flows from DAC donors, Austria (current US$);DC.DAC.AUTL.CD;Russian Federation;RUS;1970.0;
Net bilateral aid flows from DAC donors, Austria (current US$);DC.DAC.AUTL.CD;South Africa;ZAF;1970.0;
Net bilateral aid flows from DAC donors, Austria (current US$);DC.DAC.AUTL.CD;Brazil;BRA;1971.0;29999.9993294477
Net bilateral aid flows from DAC donors, Austria (current US$);DC.DAC.AUTL.CD;China;CHN;1971.0;
Net bilateral aid flows from DAC donors, Austria (current US$);DC.DAC.AUTL.CD;India;IND;1971.0;109999.999403954
Net bilateral aid flows from DAC donors, Austria (current US$);DC.DAC.AUTL.CD;Russian Federation;RUS;1971.0;
Net bilateral aid flows from DAC donors, Austria (current US$);DC.DAC.AUTL.CD;South Africa;ZAF;1971.0;
Net bilateral aid flows from DAC donors, Austria (current US$);DC.DAC.AUTL.CD;Brazil;BRA;1972.0;50000.0007450581
Net bilateral aid flows from DAC donors, Austria (current US$);DC.DAC.AUTL.CD;China;CHN;1972.0;
Net bilateral aid flows from DAC donors, Austria (current US$);DC.DAC.AUTL.CD;India;IND;1972.0;-1090000.0333786
Net bilateral aid flows from DAC donors, Austria (current US$);DC.DAC.AUTL.CD;Russian Federation;RUS;1972.0;
Net bilateral aid flows from DAC donors, Austria (current US$);DC.DAC.AUTL.CD;South Africa;ZAF;1972.0;
Net bilateral aid flows from DAC donors, Austria (current US$);DC.DAC.AUTL.CD;Brazil;BRA;1973.0;9999.99977648258
Net bilateral aid flows from DAC donors, Austria (current US$);DC.DAC.AUTL.CD;China;CHN;1973.0;
