SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Brazil;BRA;1970.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;China;CHN;1970.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;India;IND;1970.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Russian Federation;RUS;1970.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;South Africa;ZAF;1970.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Brazil;BRA;1971.0;11.6422252585044
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;China;CHN;1971.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;India;IND;1971.0;1.30056359357873
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Russian Federation;RUS;1971.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;South Africa;ZAF;1971.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Brazil;BRA;1972.0;12.3790039572908
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;China;CHN;1972.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;India;IND;1972.0;1.34685342363086
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Russian Federation;RUS;1972.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;South Africa;ZAF;1972.0;4.30886614804599
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Brazil;BRA;1973.0;12.2146097161161
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;China;CHN;1973.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;India;IND;1973.0;4.12970799494575
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Russian Federation;RUS;1973.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;South Africa;ZAF;1973.0;13.9605800104275
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Brazil;BRA;1974.0;5.16003122884057
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;China;CHN;1974.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;India;IND;1974.0;-4.24930465881387
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Russian Federation;RUS;1974.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;South Africa;ZAF;1974.0;5.52808196755454
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Brazil;BRA;1975.0;2.92804964278682
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;China;CHN;1975.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;India;IND;1975.0;4.8841022114247
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Russian Federation;RUS;1975.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;South Africa;ZAF;1975.0;-5.69654975892905
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Brazil;BRA;1976.0;13.8470550507654
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;China;CHN;1976.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;India;IND;1976.0;7.69242881304363
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Russian Federation;RUS;1976.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;South Africa;ZAF;1976.0;-2.10612276574221
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Brazil;BRA;1977.0;6.89719648464933
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;China;CHN;1977.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;India;IND;1977.0;7.3422882222403
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Russian Federation;RUS;1977.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;South Africa;ZAF;1977.0;-0.875226031490186
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Brazil;BRA;1978.0;1.72704050551403
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;China;CHN;1978.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;India;IND;1978.0;4.44506377334184
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Russian Federation;RUS;1978.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;South Africa;ZAF;1978.0;4.76864874083162
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Brazil;BRA;1979.0;6.48903216902237
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;China;CHN;1979.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;India;IND;1979.0;-2.89881193416444
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Russian Federation;RUS;1979.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;South Africa;ZAF;1979.0;3.08652093141151
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;Brazil;BRA;1980.0;5.46082309489331
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;China;CHN;1980.0;
Adjusted net national income (annual % growth);NY.ADJ.NNTY.KD.ZG;India;IND;1980.0;8.73081523645034
