SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1970.0;-2599999.90463257
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1970.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1970.0;15199999.8092651
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1970.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1970.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1971.0;-4900000.09536743
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1971.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1971.0;25500000.0
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1971.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1971.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1972.0;5760000.22888184
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1972.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1972.0;24110000.6103516
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1972.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1972.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1973.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1973.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1973.0;32000000.0
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1973.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1973.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1974.0;18610000.6103516
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1974.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1974.0;19750000.0
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1974.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1974.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1975.0;12789999.961853
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1975.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1975.0;36040000.9155273
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1975.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1975.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1976.0;-1500000.0
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1976.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1976.0;40869998.9318848
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1976.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1976.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1977.0;-899999.976158142
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1977.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1977.0;26700000.7629395
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1977.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1977.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1978.0;17750000.0
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1978.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1978.0;20000000.0
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1978.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1978.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1979.0;5099999.90463257
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1979.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1979.0;13000000.0
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1979.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1979.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1980.0;9149999.61853027
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1980.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1980.0;16399999.6185303
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1980.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1980.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1981.0;111900001.525879
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1981.0;2710000.03814697
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1981.0;31430000.3051758
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1981.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1981.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1982.0;74269996.6430664
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1982.0;2279999.97138977
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1982.0;29389999.3896484
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1982.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1982.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1983.0;18659999.8474121
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1983.0;4699999.80926514
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1983.0;20850000.3814697
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1983.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1983.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1984.0;30229999.5422363
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1984.0;5969999.79019165
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1984.0;43599998.4741211
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1984.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1984.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1985.0;21049999.2370605
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1985.0;6300000.19073486
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1985.0;65220001.2207031
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1985.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1985.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1986.0;16829999.9237061
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1986.0;9909999.84741211
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1986.0;72279998.7792969
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1986.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1986.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1987.0;20870000.8392334
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1987.0;46939998.626709
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1987.0;69419998.1689453
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1987.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1987.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1988.0;11920000.0762939
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1988.0;133990005.493164
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;India;IND;1988.0;52889999.3896484
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Russian Federation;RUS;1988.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;South Africa;ZAF;1988.0;
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;Brazil;BRA;1989.0;11600000.3814697
Net bilateral aid flows from DAC donors, France (current US$);DC.DAC.FRAL.CD;China;CHN;1989.0;179899993.896484
