SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Brazil;BRA;1970.0;75917604.4283371
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;China;CHN;1970.0;98522148.1510491
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;India;IND;1970.0;56646567.8582652
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Russian Federation;RUS;1970.0;0.0
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;South Africa;ZAF;1970.0;106692961.554409
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Brazil;BRA;1971.0;70921052.7352385
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;China;CHN;1971.0;74827145.3797975
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;India;IND;1971.0;62251572.3169624
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Russian Federation;RUS;1971.0;0.0
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;South Africa;ZAF;1971.0;85605488.609829
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Brazil;BRA;1972.0;97694941.7491438
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;China;CHN;1972.0;71542016.8403507
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;India;IND;1972.0;61248436.5022442
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Russian Federation;RUS;1972.0;0.0
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;South Africa;ZAF;1972.0;85976293.6099292
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Brazil;BRA;1973.0;119341092.590625
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;China;CHN;1973.0;163011502.708357
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;India;IND;1973.0;67856608.4409245
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Russian Federation;RUS;1973.0;0.0
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;South Africa;ZAF;1973.0;163530277.943471
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Brazil;BRA;1974.0;230704359.908707
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;China;CHN;1974.0;271995610.95865
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;India;IND;1974.0;100219616.814752
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Russian Federation;RUS;1974.0;0.0
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;South Africa;ZAF;1974.0;463100763.052747
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Brazil;BRA;1975.0;304126664.619803
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;China;CHN;1975.0;151501495.807112
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;India;IND;1975.0;129517846.293683
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Russian Federation;RUS;1975.0;0.0
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;South Africa;ZAF;1975.0;180605493.334045
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Brazil;BRA;1976.0;482295894.617965
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;China;CHN;1976.0;250106784.193374
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;India;IND;1976.0;191356752.338325
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Russian Federation;RUS;1976.0;0.0
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;South Africa;ZAF;1976.0;183923423.25621
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Brazil;BRA;1977.0;394712329.214563
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;China;CHN;1977.0;295021250.878511
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;India;IND;1977.0;194030864.859074
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Russian Federation;RUS;1977.0;0.0
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;South Africa;ZAF;1977.0;212398091.897101
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Brazil;BRA;1978.0;357519936.525463
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;China;CHN;1978.0;202767937.391407
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;India;IND;1978.0;138027136.114188
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Russian Federation;RUS;1978.0;0.0
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;South Africa;ZAF;1978.0;169076080.018673
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;Brazil;BRA;1979.0;457350695.670781
Adjusted savings: mineral depletion (current US$);NY.ADJ.DMIN.CD;China;CHN;1979.0;359078742.45
