SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;Brazil;BRA;1970.0;1500000.0
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;China;CHN;1970.0;
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;India;IND;1970.0;7360000.1335144
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;Russian Federation;RUS;1970.0;
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;South Africa;ZAF;1970.0;
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;Brazil;BRA;1971.0;990000.009536743
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;China;CHN;1971.0;
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;India;IND;1971.0;10500000.0
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;Russian Federation;RUS;1971.0;
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;South Africa;ZAF;1971.0;
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;Brazil;BRA;1972.0;990000.009536743
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;China;CHN;1972.0;
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;India;IND;1972.0;11060000.4196167
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;Russian Federation;RUS;1972.0;
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;South Africa;ZAF;1972.0;
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;Brazil;BRA;1973.0;209999.993443489
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;China;CHN;1973.0;
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;India;IND;1973.0;10670000.0762939
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;Russian Federation;RUS;1973.0;
Net bilateral aid flows from DAC donors, Sweden (current US$);DC.DAC.SWEL.CD;South Africa;ZAF;1973.0;
