SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1970.0;0.252650130137805
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1970.0;0.115876817902381
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1970.0;0.444246975342167
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1970.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1970.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1971.0;0.236046086460608
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1971.0;0.153883060412621
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1971.0;0.436022484783808
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1971.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1971.0;1.03446849296671
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1972.0;0.249258751061305
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1972.0;0.20323397726034
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1972.0;0.423071734029532
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1972.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1972.0;1.04110734281139
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1973.0;0.250391385063225
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1973.0;0.393140207406993
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1973.0;0.542152172820361
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1973.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1973.0;1.16762495728694
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1974.0;0.618358091067325
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1974.0;2.31495472567332
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1974.0;0.678583931885592
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1974.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1974.0;2.17759763877449
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1975.0;0.573967578461734
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1975.0;3.68293878317998
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1975.0;1.4298330133532
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1975.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1975.0;2.259281677547
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1976.0;0.58164830040323
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1976.0;4.68214765557794
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1976.0;1.24894140289698
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1976.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1976.0;2.65271303651321
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1977.0;0.406573350267922
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1977.0;4.94597169390759
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1977.0;2.20974631548002
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1977.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1977.0;2.77239904622774
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1978.0;0.351387400064506
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1978.0;6.0479500992087
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1978.0;1.96984522659611
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1978.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1978.0;2.34091880515349
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1979.0;0.602951884715481
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1979.0;10.1255403531625
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1979.0;1.7254788145088
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1979.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1979.0;4.28236125665345
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1980.0;0.812154016886459
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1980.0;11.5298171832773
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1980.0;1.3544112621111
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1980.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1980.0;7.99790666862134
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1981.0;0.722063067582098
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1981.0;11.3407552642047
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1981.0;1.82545200822467
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1981.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1981.0;6.43798270843148
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1982.0;0.605375784453147
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1982.0;9.20734997698847
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1982.0;2.03006901952794
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1982.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1982.0;6.15691372325333
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1983.0;2.60344216384935
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1983.0;7.09486451161887
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1983.0;1.93004912295644
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1983.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1983.0;5.24403351942102
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1984.0;2.47878192405738
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1984.0;5.99765558281806
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1984.0;1.92705695719444
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1984.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1984.0;2.70942313336539
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1985.0;2.32045647871393
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1985.0;5.63096385065097
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1985.0;2.0903409530632
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1985.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1985.0;5.81280551460314
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1986.0;1.35677831473808
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1986.0;2.95559924844984
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1986.0;1.36972494733861
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1986.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1986.0;4.62959317279783
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1987.0;1.5657852972069
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1987.0;3.64457353565158
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1987.0;1.33463094193891
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Russian Federation;RUS;1987.0;
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;South Africa;ZAF;1987.0;3.72397646089255
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;Brazil;BRA;1988.0;1.26423834929888
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;China;CHN;1988.0;3.41549101888713
Adjusted savings: natural resources depletion (% of GNI);NY.ADJ.DRES.GN.ZS;India;IND;1988.0;1.17778825463965
