SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1970.0;107781398.4
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1970.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1970.0;1265952094.5
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1970.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1970.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1971.0;85778046.3
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1971.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1971.0;544455603.2
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1971.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1971.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1972.0;114091927.6
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1972.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1972.0;328908010.7
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1972.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1972.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1973.0;158763802.5
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1973.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1973.0;316563867.5
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1973.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1973.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1974.0;402662402.1
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1974.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1974.0;452785023.8
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1974.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1974.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1975.0;741157851.1
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1975.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1975.0;792791225.9
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1975.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1975.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1976.0;179409002.2
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1976.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1976.0;501025590.1
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1976.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1976.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1977.0;168444234.8
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1977.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1977.0;291582133.9
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1977.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1977.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1978.0;354765017.7
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1978.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1978.0;149340731.4
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1978.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1978.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1979.0;38563017.8
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1979.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1979.0;3589542.3
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1979.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1979.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1980.0;455151690.0
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1980.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1980.0;139172754.3
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1980.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1980.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1981.0;829105104.7
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1981.0;506326996.7
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1981.0;-41986800.4
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1981.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1981.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1982.0;254799920.3
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1982.0;656429274.7
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1982.0;-6568604.7
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1982.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1982.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1983.0;491352594.4
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1983.0;544815738.9
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1983.0;118678022.8
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1983.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1983.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1984.0;295913571.7
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1984.0;623069790.9
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1984.0;362312821.6
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1984.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1984.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1985.0;325643445.9
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1985.0;517938681.3
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1985.0;218210195.4
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1985.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1985.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1986.0;26713280.5
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1986.0;547125344.2
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1986.0;306139759.7
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1986.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1986.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1987.0;-75151077.5
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1987.0;7750883.9
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1987.0;708922098.6
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1987.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1987.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1988.0;-41309820.8
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1988.0;272475008.1
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1988.0;425896308.3
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1988.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1988.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1989.0;259074664.5
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1989.0;1170569555.0
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1989.0;857997777.9
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1989.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1989.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1990.0;-117297883.8
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1990.0;788955230.6
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1990.0;716602352.3
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1990.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1990.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1991.0;-607333161.7
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1991.0;729565658.0
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1991.0;836277753.7
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1991.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1991.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1992.0;-250870375.4
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1992.0;1035296644.6
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1992.0;960091984.1
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1992.0;1668871322.6
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1992.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1993.0;-244680486.4
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1993.0;2634461925.3
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1993.0;646593187.1
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1993.0;82710543.4
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1993.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1994.0;-1568869674.9
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1994.0;917137696.9
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1994.0;-172180095.0
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1994.0;398121618.1
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1994.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1995.0;-1287658875.3
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1995.0;5484310207.9
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1995.0;-1472008937.6
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Russian Federation;RUS;1995.0;-357099640.5
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;South Africa;ZAF;1995.0;
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;Brazil;BRA;1996.0;-1497246408.7
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;China;CHN;1996.0;2017864040.6
Net financial flows, bilateral (NFL, current US$);DT.NFL.BLAT.CD;India;IND;1996.0;-827938863.3
