SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;Brazil;BRA;1970.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;China;CHN;1970.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;India;IND;1970.0;172867000.0
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;Russian Federation;RUS;1970.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;South Africa;ZAF;1970.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;Brazil;BRA;1971.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;China;CHN;1971.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;India;IND;1971.0;104951000.0
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;Russian Federation;RUS;1971.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;South Africa;ZAF;1971.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;Brazil;BRA;1972.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;China;CHN;1972.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;India;IND;1972.0;185341000.0
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;Russian Federation;RUS;1972.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;South Africa;ZAF;1972.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;Brazil;BRA;1973.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;China;CHN;1973.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;India;IND;1973.0;320125000.0
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;Russian Federation;RUS;1973.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;South Africa;ZAF;1973.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;Brazil;BRA;1974.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;China;CHN;1974.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;India;IND;1974.0;394812000.0
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;Russian Federation;RUS;1974.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;South Africa;ZAF;1974.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;Brazil;BRA;1975.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;China;CHN;1975.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;India;IND;1975.0;484938000.0
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;Russian Federation;RUS;1975.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;South Africa;ZAF;1975.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;Brazil;BRA;1976.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;China;CHN;1976.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;India;IND;1976.0;524368000.0
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;Russian Federation;RUS;1976.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;South Africa;ZAF;1976.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;Brazil;BRA;1977.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;China;CHN;1977.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;India;IND;1977.0;322873000.0
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;Russian Federation;RUS;1977.0;
Net financial flows, IDA (NFL, current US$);DT.NFL.MIDA.CD;South Africa;ZAF;1977.0;
