SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Brazil;BRA;1970.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;China;CHN;1970.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;India;IND;1970.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Russian Federation;RUS;1970.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;South Africa;ZAF;1970.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Brazil;BRA;1971.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;China;CHN;1971.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;India;IND;1971.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Russian Federation;RUS;1971.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;South Africa;ZAF;1971.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Brazil;BRA;1972.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;China;CHN;1972.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;India;IND;1972.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Russian Federation;RUS;1972.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;South Africa;ZAF;1972.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Brazil;BRA;1973.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;China;CHN;1973.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;India;IND;1973.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Russian Federation;RUS;1973.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;South Africa;ZAF;1973.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Brazil;BRA;1974.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;China;CHN;1974.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;India;IND;1974.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Russian Federation;RUS;1974.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;South Africa;ZAF;1974.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Brazil;BRA;1975.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;China;CHN;1975.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;India;IND;1975.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Russian Federation;RUS;1975.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;South Africa;ZAF;1975.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Brazil;BRA;1976.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;China;CHN;1976.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;India;IND;1976.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Russian Federation;RUS;1976.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;South Africa;ZAF;1976.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Brazil;BRA;1977.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;China;CHN;1977.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;India;IND;1977.0;21800000.0
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Russian Federation;RUS;1977.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;South Africa;ZAF;1977.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Brazil;BRA;1978.0;20000000.0
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;China;CHN;1978.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;India;IND;1978.0;14000000.0
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Russian Federation;RUS;1978.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;South Africa;ZAF;1978.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Brazil;BRA;1979.0;20000000.0
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;China;CHN;1979.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;India;IND;1979.0;28472000.0
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Russian Federation;RUS;1979.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;South Africa;ZAF;1979.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Brazil;BRA;1980.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;China;CHN;1980.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;India;IND;1980.0;37497000.0
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Russian Federation;RUS;1980.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;South Africa;ZAF;1980.0;
Net financial flows, others (NFL, current US$);DT.NFL.MOTH.CD;Brazil;BRA;1981.0;20000000.0
