SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;Brazil;BRA;1970.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;China;CHN;1970.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;India;IND;1970.0;0.331746426072453
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;Russian Federation;RUS;1970.0;
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;South Africa;ZAF;1970.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;Brazil;BRA;1971.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;China;CHN;1971.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;India;IND;1971.0;0.277414360085477
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;Russian Federation;RUS;1971.0;
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;South Africa;ZAF;1971.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;Brazil;BRA;1972.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;China;CHN;1972.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;India;IND;1972.0;0.271192288545732
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;Russian Federation;RUS;1972.0;
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;South Africa;ZAF;1972.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;Brazil;BRA;1973.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;China;CHN;1973.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;India;IND;1973.0;0.391082237980545
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;Russian Federation;RUS;1973.0;
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;South Africa;ZAF;1973.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;Brazil;BRA;1974.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;China;CHN;1974.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;India;IND;1974.0;0.405002914645295
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;Russian Federation;RUS;1974.0;
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;South Africa;ZAF;1974.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;Brazil;BRA;1975.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;China;CHN;1975.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;India;IND;1975.0;0.884441273482943
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;Russian Federation;RUS;1975.0;
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;South Africa;ZAF;1975.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;Brazil;BRA;1976.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;China;CHN;1976.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;India;IND;1976.0;0.564183349913679
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;Russian Federation;RUS;1976.0;
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;South Africa;ZAF;1976.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;Brazil;BRA;1977.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;China;CHN;1977.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;India;IND;1977.0;1.50756605143459
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;Russian Federation;RUS;1977.0;
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;South Africa;ZAF;1977.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;Brazil;BRA;1978.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;China;CHN;1978.0;0.0
Adjusted savings: net forest depletion (% of GNI);NY.ADJ.DFOR.GN.ZS;India;IND;1978.0;1.3480449557868
