SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;Brazil;BRA;1970.0;0.0
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;China;CHN;1970.0;0.0
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;India;IND;1970.0;205828143.465649
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;Russian Federation;RUS;1970.0;
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;South Africa;ZAF;1970.0;0.0
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;Brazil;BRA;1971.0;0.0
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;China;CHN;1971.0;0.0
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;India;IND;1971.0;185756497.620997
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;Russian Federation;RUS;1971.0;
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;South Africa;ZAF;1971.0;0.0
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;Brazil;BRA;1972.0;0.0
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;China;CHN;1972.0;0.0
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;India;IND;1972.0;192743243.719808
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;Russian Federation;RUS;1972.0;
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;South Africa;ZAF;1972.0;0.0
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;Brazil;BRA;1973.0;0.0
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;China;CHN;1973.0;0.0
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;India;IND;1973.0;332818576.754647
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;Russian Federation;RUS;1973.0;
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;South Africa;ZAF;1973.0;0.0
Adjusted savings: net forest depletion (current US$);NY.ADJ.DFOR.CD;Brazil;BRA;1974.0;0.0
