SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Brazil;BRA;1970.0;3470000.02861023
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;China;CHN;1970.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;India;IND;1970.0;6760000.22888184
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Russian Federation;RUS;1970.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;South Africa;ZAF;1970.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Brazil;BRA;1971.0;3950000.04768372
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;China;CHN;1971.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;India;IND;1971.0;7639999.8664856
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Russian Federation;RUS;1971.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;South Africa;ZAF;1971.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Brazil;BRA;1972.0;4369999.88555908
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;China;CHN;1972.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;India;IND;1972.0;6989999.77111816
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Russian Federation;RUS;1972.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;South Africa;ZAF;1972.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Brazil;BRA;1973.0;5219999.79019165
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;China;CHN;1973.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;India;IND;1973.0;5519999.98092651
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Russian Federation;RUS;1973.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;South Africa;ZAF;1973.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Brazil;BRA;1974.0;5369999.88555908
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;China;CHN;1974.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;India;IND;1974.0;7289999.96185303
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Russian Federation;RUS;1974.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;South Africa;ZAF;1974.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Brazil;BRA;1975.0;8640000.34332275
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;China;CHN;1975.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;India;IND;1975.0;8109999.65667725
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Russian Federation;RUS;1975.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;South Africa;ZAF;1975.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Brazil;BRA;1976.0;7059999.94277954
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;China;CHN;1976.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;India;IND;1976.0;10260000.2288818
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Russian Federation;RUS;1976.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;South Africa;ZAF;1976.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Brazil;BRA;1977.0;6730000.01907349
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;China;CHN;1977.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;India;IND;1977.0;16180000.3051758
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Russian Federation;RUS;1977.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;South Africa;ZAF;1977.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Brazil;BRA;1978.0;8850000.38146973
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;China;CHN;1978.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;India;IND;1978.0;21700000.7629395
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Russian Federation;RUS;1978.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;South Africa;ZAF;1978.0;
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Brazil;BRA;1979.0;10869999.8855591
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;China;CHN;1979.0;1159999.9666214
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;India;IND;1979.0;26799999.2370605
Net official flows from UN agencies, UNDP (current US$);DT.NFL.UNDP.CD;Russian Federation;RUS;1979.0;
