SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Brazil;BRA;1970.0;1139999.98569489
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;China;CHN;1970.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;India;IND;1970.0;1330000.04291534
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Russian Federation;RUS;1970.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;South Africa;ZAF;1970.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Brazil;BRA;1971.0;790000.021457672
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;China;CHN;1971.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;India;IND;1971.0;1600000.02384186
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Russian Federation;RUS;1971.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;South Africa;ZAF;1971.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Brazil;BRA;1972.0;889999.985694885
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;China;CHN;1972.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;India;IND;1972.0;1759999.99046326
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Russian Federation;RUS;1972.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;South Africa;ZAF;1972.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Brazil;BRA;1973.0;970000.028610229
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;China;CHN;1973.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;India;IND;1973.0;1779999.97138977
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Russian Federation;RUS;1973.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;South Africa;ZAF;1973.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Brazil;BRA;1974.0;2319999.9332428
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;China;CHN;1974.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;India;IND;1974.0;1909999.9666214
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Russian Federation;RUS;1974.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;South Africa;ZAF;1974.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Brazil;BRA;1975.0;1279999.97138977
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;China;CHN;1975.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;India;IND;1975.0;1889999.98569489
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Russian Federation;RUS;1975.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;South Africa;ZAF;1975.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Brazil;BRA;1976.0;1080000.04291534
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;China;CHN;1976.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;India;IND;1976.0;2170000.07629395
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Russian Federation;RUS;1976.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;South Africa;ZAF;1976.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Brazil;BRA;1977.0;1039999.96185303
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;China;CHN;1977.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;India;IND;1977.0;2690000.05722046
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Russian Federation;RUS;1977.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;South Africa;ZAF;1977.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Brazil;BRA;1978.0;1519999.98092651
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;China;CHN;1978.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;India;IND;1978.0;3480000.01907349
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Russian Federation;RUS;1978.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;South Africa;ZAF;1978.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Brazil;BRA;1979.0;1179999.94754791
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;China;CHN;1979.0;1740000.00953674
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;India;IND;1979.0;3160000.08583069
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Russian Federation;RUS;1979.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;South Africa;ZAF;1979.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Brazil;BRA;1980.0;300000.011920929
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;China;CHN;1980.0;189999.997615814
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;India;IND;1980.0;310000.002384186
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Russian Federation;RUS;1980.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;South Africa;ZAF;1980.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Brazil;BRA;1981.0;1360000.01430511
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;China;CHN;1981.0;1230000.01907349
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;India;IND;1981.0;4000000.0
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Russian Federation;RUS;1981.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;South Africa;ZAF;1981.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Brazil;BRA;1982.0;1080000.04291534
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;China;CHN;1982.0;800000.011920929
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;India;IND;1982.0;1139999.98569489
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Russian Federation;RUS;1982.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;South Africa;ZAF;1982.0;
Net official flows from UN agencies, UNTA (current US$);DT.NFL.UNTA.CD;Brazil;BRA;1983.0;1299999.95231628
