SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;Brazil;BRA;1970.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;China;CHN;1970.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;India;IND;1970.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;Russian Federation;RUS;1970.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;South Africa;ZAF;1970.0;-663599734.825546
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;Brazil;BRA;1971.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;China;CHN;1971.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;India;IND;1971.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;Russian Federation;RUS;1971.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;South Africa;ZAF;1971.0;-655750255.580886
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;Brazil;BRA;1972.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;China;CHN;1972.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;India;IND;1972.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;Russian Federation;RUS;1972.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;South Africa;ZAF;1972.0;-699997141.304149
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;Brazil;BRA;1973.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;China;CHN;1973.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;India;IND;1973.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;Russian Federation;RUS;1973.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;South Africa;ZAF;1973.0;-926337883.504093
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;Brazil;BRA;1974.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;China;CHN;1974.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;India;IND;1974.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;Russian Federation;RUS;1974.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;South Africa;ZAF;1974.0;-1248643443.51204
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;Brazil;BRA;1975.0;-2017000000.0
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;China;CHN;1975.0;
Net primary income (BoP, current US$);BN.GSR.FCTY.CD;India;IND;1975.0;-257640448.817558
