SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Brazil;BRA;1970.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;China;CHN;1970.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;India;IND;1970.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Russian Federation;RUS;1970.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;South Africa;ZAF;1970.0;-403199838.881344
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Brazil;BRA;1971.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;China;CHN;1971.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;India;IND;1971.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Russian Federation;RUS;1971.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;South Africa;ZAF;1971.0;-584923866.003826
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Brazil;BRA;1972.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;China;CHN;1972.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;India;IND;1972.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Russian Federation;RUS;1972.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;South Africa;ZAF;1972.0;679511764.026075
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Brazil;BRA;1973.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;China;CHN;1973.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;India;IND;1973.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Russian Federation;RUS;1973.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;South Africa;ZAF;1973.0;908040822.668081
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Brazil;BRA;1974.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;China;CHN;1974.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;India;IND;1974.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Russian Federation;RUS;1974.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;South Africa;ZAF;1974.0;60548185.945272
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Brazil;BRA;1975.0;-3550000000.0
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;China;CHN;1975.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;India;IND;1975.0;-286205132.894493
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Russian Federation;RUS;1975.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;South Africa;ZAF;1975.0;-541475530.705232
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Brazil;BRA;1976.0;-2386000000.0
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;China;CHN;1976.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;India;IND;1976.0;787005792.907204
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Russian Federation;RUS;1976.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;South Africa;ZAF;1976.0;-190899999.834
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Brazil;BRA;1977.0;-100000000.0
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;China;CHN;1977.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;India;IND;1977.0;932137783.53
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Russian Federation;RUS;1977.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;South Africa;ZAF;1977.0;2359799997.948
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Brazil;BRA;1978.0;-1158000000.0
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;China;CHN;1978.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;India;IND;1978.0;-884155916.287359
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Russian Federation;RUS;1978.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;South Africa;ZAF;1978.0;3474149996.979
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Brazil;BRA;1979.0;-2717000000.0
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;China;CHN;1979.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;India;IND;1979.0;-2221565914.98765
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Russian Federation;RUS;1979.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;South Africa;ZAF;1979.0;5705585614.01473
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Brazil;BRA;1980.0;-2823000000.0
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;China;CHN;1980.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;India;IND;1980.0;-5643555549.39019
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Russian Federation;RUS;1980.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;South Africa;ZAF;1980.0;7235873983.23463
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Brazil;BRA;1981.0;1185000000.0
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;China;CHN;1981.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;India;IND;1981.0;-5711148536.64992
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Russian Federation;RUS;1981.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;South Africa;ZAF;1981.0;-170085899.261103
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Brazil;BRA;1982.0;778000000.0
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;China;CHN;1982.0;4249000000.0
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;India;IND;1982.0;-4819968799.13706
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Russian Federation;RUS;1982.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;South Africa;ZAF;1982.0;684633643.617878
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Brazil;BRA;1983.0;6469000000.0
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;China;CHN;1983.0;1990000000.0
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;India;IND;1983.0;-4097695768.23893
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Russian Federation;RUS;1983.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;South Africa;ZAF;1983.0;4154047703.00964
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Brazil;BRA;1984.0;13086000000.0
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;China;CHN;1984.0;14000000.0
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;India;IND;1984.0;-4024728084.30488
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Russian Federation;RUS;1984.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;South Africa;ZAF;1984.0;2097642637.32541
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Brazil;BRA;1985.0;12466000000.0
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;China;CHN;1985.0;-13123000000.0
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;India;IND;1985.0;-5616169909.77247
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Russian Federation;RUS;1985.0;
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;South Africa;ZAF;1985.0;5544375942.1312
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;Brazil;BRA;1986.0;8304000000.0
Net trade in goods (BoP, current US$);BN.GSR.MRCH.CD;China;CHN;1986.0;-9140000000.0
