SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Brazil;BRA;1970.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;China;CHN;1970.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;India;IND;1970.0;38.6078252957234
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Russian Federation;RUS;1970.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;South Africa;ZAF;1970.0;49.3758212877792
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Brazil;BRA;1971.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;China;CHN;1971.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;India;IND;1971.0;35.7149890052184
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Russian Federation;RUS;1971.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;South Africa;ZAF;1971.0;49.3758213257055
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Brazil;BRA;1972.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;China;CHN;1972.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;India;IND;1972.0;36.3809268684704
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Russian Federation;RUS;1972.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;South Africa;ZAF;1972.0;50.09315943572
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Brazil;BRA;1973.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;China;CHN;1973.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;India;IND;1973.0;37.3327011358003
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Russian Federation;RUS;1973.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;South Africa;ZAF;1973.0;50.4078303425775
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Brazil;BRA;1974.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;China;CHN;1974.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;India;IND;1974.0;37.3391388485728
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Russian Federation;RUS;1974.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;South Africa;ZAF;1974.0;51.2066517947678
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Brazil;BRA;1975.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;China;CHN;1975.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;India;IND;1975.0;39.6204107031736
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Russian Federation;RUS;1975.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;South Africa;ZAF;1975.0;51.2903225806452
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Brazil;BRA;1976.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;China;CHN;1976.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;India;IND;1976.0;39.4832425293049
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Russian Federation;RUS;1976.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;South Africa;ZAF;1976.0;52.5330255226369
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Brazil;BRA;1977.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;China;CHN;1977.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;India;IND;1977.0;37.9433166835947
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Russian Federation;RUS;1977.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;South Africa;ZAF;1977.0;52.5330255105671
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Brazil;BRA;1978.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;China;CHN;1978.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;India;IND;1978.0;35.7343553594755
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Russian Federation;RUS;1978.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;South Africa;ZAF;1978.0;54.1129555749393
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Brazil;BRA;1979.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;China;CHN;1979.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;India;IND;1979.0;36.4291177970423
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Russian Federation;RUS;1979.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;South Africa;ZAF;1979.0;54.112955578225
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Brazil;BRA;1980.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;China;CHN;1980.0;41.7902011470431
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;India;IND;1980.0;38.548479577061
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Russian Federation;RUS;1980.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;South Africa;ZAF;1980.0;55.2086330935252
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Brazil;BRA;1981.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;China;CHN;1981.0;40.734752669523
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;India;IND;1981.0;40.1275099902171
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Russian Federation;RUS;1981.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;South Africa;ZAF;1981.0;54.5617387150705
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Brazil;BRA;1982.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;China;CHN;1982.0;41.3589344404082
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;India;IND;1982.0;41.5552186288673
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Russian Federation;RUS;1982.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;South Africa;ZAF;1982.0;52.6184414158055
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Brazil;BRA;1983.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;China;CHN;1983.0;42.5904558851195
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;India;IND;1983.0;38.6379289140327
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Russian Federation;RUS;1983.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;South Africa;ZAF;1983.0;53.3123890178937
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Brazil;BRA;1984.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;China;CHN;1984.0;42.949715718702
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;India;IND;1984.0;40.2642539618474
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Russian Federation;RUS;1984.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;South Africa;ZAF;1984.0;53.502700540108
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Brazil;BRA;1985.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;China;CHN;1985.0;44.973544973545
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;India;IND;1985.0;40.6854679136031
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Russian Federation;RUS;1985.0;
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;South Africa;ZAF;1985.0;52.971899367368
Other manufacturing (% of value added in manufacturing);NV.MNF.OTHR.ZS.UN;Brazil;BRA;1986.0;
