SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;Brazil;BRA;1970.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;China;CHN;1970.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;India;IND;1970.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;Russian Federation;RUS;1970.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;South Africa;ZAF;1970.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;Brazil;BRA;1971.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;China;CHN;1971.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;India;IND;1971.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;Russian Federation;RUS;1971.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;South Africa;ZAF;1971.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;Brazil;BRA;1972.0;96450000.0
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;China;CHN;1972.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;India;IND;1972.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;Russian Federation;RUS;1972.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;South Africa;ZAF;1972.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;Brazil;BRA;1973.0;35855000.0
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;China;CHN;1973.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;India;IND;1973.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;Russian Federation;RUS;1973.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;South Africa;ZAF;1973.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;Brazil;BRA;1974.0;23100000.0
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;China;CHN;1974.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;India;IND;1974.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;Russian Federation;RUS;1974.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;South Africa;ZAF;1974.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;Brazil;BRA;1975.0;-3722000.0
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;China;CHN;1975.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;India;IND;1975.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;Russian Federation;RUS;1975.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;South Africa;ZAF;1975.0;
Portfolio investment, bonds (PPG + PNG) (NFL, current US$);DT.NFL.BOND.CD;Brazil;BRA;1976.0;184032000.0
