SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;Brazil;BRA;1970.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;China;CHN;1970.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;India;IND;1970.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;Russian Federation;RUS;1970.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;South Africa;ZAF;1970.0;176399929.510588
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;Brazil;BRA;1971.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;China;CHN;1971.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;India;IND;1971.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;Russian Federation;RUS;1971.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;South Africa;ZAF;1971.0;202607850.246528
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;Brazil;BRA;1972.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;China;CHN;1972.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;India;IND;1972.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;Russian Federation;RUS;1972.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;South Africa;ZAF;1972.0;213610239.859616
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;Brazil;BRA;1973.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;China;CHN;1973.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;India;IND;1973.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;Russian Federation;RUS;1973.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;South Africa;ZAF;1973.0;381226561.155912
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;Brazil;BRA;1974.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;China;CHN;1974.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;India;IND;1974.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;Russian Federation;RUS;1974.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;South Africa;ZAF;1974.0;303788916.826523
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;Brazil;BRA;1975.0;387000000.0
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;China;CHN;1975.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;India;IND;1975.0;130252447.102641
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;Russian Federation;RUS;1975.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;South Africa;ZAF;1975.0;307533307.376889
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;Brazil;BRA;1976.0;304000000.0
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;China;CHN;1976.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;India;IND;1976.0;195369308.555802
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;Russian Federation;RUS;1976.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;South Africa;ZAF;1976.0;365699999.682
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;Brazil;BRA;1977.0;380000000.0
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;China;CHN;1977.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;India;IND;1977.0;275397111.195424
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;Russian Federation;RUS;1977.0;
Primary income receipts (BoP, current US$);BX.GSR.FCTY.CD;South Africa;ZAF;1977.0;264499999.77
