SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;Brazil;BRA;1970.0;
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;China;CHN;1970.0;
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;India;IND;1970.0;
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;Russian Federation;RUS;1970.0;
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;South Africa;ZAF;1970.0;95199961.9580952
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;Brazil;BRA;1971.0;
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;China;CHN;1971.0;
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;India;IND;1971.0;
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;Russian Federation;RUS;1971.0;
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;South Africa;ZAF;1971.0;99276531.2651468
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;Brazil;BRA;1972.0;
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;China;CHN;1972.0;
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;India;IND;1972.0;
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;Russian Federation;RUS;1972.0;
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;South Africa;ZAF;1972.0;122503384.808492
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;Brazil;BRA;1973.0;
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;China;CHN;1973.0;
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;India;IND;1973.0;
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;Russian Federation;RUS;1973.0;
Secondary income receipts (BoP, current US$);BX.TRF.CURR.CD;South Africa;ZAF;1973.0;132820409.247422
