SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1970.0;9961525926.22096
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1970.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1970.0;19968704913.0244
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1970.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1970.0;-119490668003.703
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1971.0;10018168860.6329
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1971.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1971.0;66158388850.5348
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1971.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1971.0;-114878687008.408
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1972.0;12722347567.0401
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1972.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1972.0;113266282556.402
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1972.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1972.0;-91700858241.7583
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1973.0;20156367342.6439
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1973.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1973.0;20796803934.2008
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1973.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1973.0;-46555094814.1554
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1974.0;11473133876.6588
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1974.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1974.0;-135833286143.48
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1974.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1974.0;-18443361616.1616
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1975.0;11352311495.1538
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1975.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1975.0;-196901302994.902
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1975.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1975.0;-41481199271.8447
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1976.0;17597450784.0253
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1976.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1976.0;-184899194310.87
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1976.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1976.0;-69877793933.2885
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1977.0;25212128550.5857
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1977.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1977.0;-46837728470.6506
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1977.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1977.0;-64873404026.3797
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1978.0;18280933470.3564
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1978.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1978.0;-146374205094.998
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1978.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1978.0;-61651806014.4426
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1979.0;13687453531.7076
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1979.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1979.0;-217446151206.415
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1979.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1979.0;-48008679630.8504
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1980.0;5451306792.34124
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1980.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1980.0;-319230606417.299
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1980.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1980.0;-10745128001.8652
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1981.0;-3469490019.03294
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1981.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1981.0;-219584346789.243
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1981.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1981.0;-51571328271.6105
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1982.0;-3751601527.67024
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1982.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1982.0;-205997394040.981
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1982.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1982.0;-77925011824.7055
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1983.0;-4584321454.19663
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1983.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1983.0;-13108825615.5646
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1983.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1983.0;-72949934043.1974
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1984.0;421924569.384979
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1984.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1984.0;-145592166048.12
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1984.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1984.0;-58560866709.9881
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1985.0;-4893372095.43408
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1985.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1985.0;-113295807347.454
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1985.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1985.0;-61738953849.3593
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1986.0;8107133472.00093
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1986.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1986.0;60744076279.1312
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1986.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1986.0;-53376078228.7823
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1987.0;-1738682031.57378
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1987.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1987.0;2174286477.27661
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1987.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1987.0;-41790734100.6304
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1988.0;8593379203.56398
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1988.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1988.0;33140749531.6399
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1988.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1988.0;-53555909923.4064
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1989.0;-5551898624.58933
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1989.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1989.0;-7501641104.15308
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1989.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1989.0;-70757825267.0692
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1990.0;-23208761783.4953
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1990.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1990.0;-161320357386.785
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1990.0;1817375888238.18
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1990.0;-77194647326.0262
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1991.0;-25821568206.2251
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1991.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1991.0;-33171547603.8613
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1991.0;-1104264782854.72
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1991.0;-76160673112.7197
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1992.0;-23115928014.6953
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1992.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1992.0;79747108325.2822
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1992.0;277978122882.755
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1992.0;-83619987966.399
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1993.0;-24256276618.454
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1993.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1993.0;388322718383.116
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1993.0;-737793890223.935
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1993.0;-95241411201.412
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1994.0;-24976737017.0894
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1994.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1994.0;578672254894.32
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1994.0;-1605558840176.23
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1994.0;-97884046789.9778
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1995.0;-15616588847.8688
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1995.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1995.0;403304588868.641
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1995.0;-1614399996077.57
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1995.0;-118531862560.181
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1996.0;-14590388290.1093
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1996.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1996.0;118530884627.612
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1996.0;-1528665487121.63
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;South Africa;ZAF;1996.0;-106776930598.577
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Brazil;BRA;1997.0;-17144451586.0701
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;China;CHN;1997.0;
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;India;IND;1997.0;623443444046.723
Terms of trade adjustment (constant LCU);NY.TTF.GNFS.KN;Russian Federation;RUS;1997.0;-2032894665697.54
