SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;Brazil;BRA;1970.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;China;CHN;1970.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;India;IND;1970.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;Russian Federation;RUS;1970.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;South Africa;ZAF;1970.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;Brazil;BRA;1971.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;China;CHN;1971.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;India;IND;1971.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;Russian Federation;RUS;1971.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;South Africa;ZAF;1971.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;Brazil;BRA;1972.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;China;CHN;1972.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;India;IND;1972.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;Russian Federation;RUS;1972.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;South Africa;ZAF;1972.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;Brazil;BRA;1973.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;China;CHN;1973.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;India;IND;1973.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;Russian Federation;RUS;1973.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;South Africa;ZAF;1973.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;Brazil;BRA;1974.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;China;CHN;1974.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;India;IND;1974.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;Russian Federation;RUS;1974.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;South Africa;ZAF;1974.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;Brazil;BRA;1975.0;43.8291052751786
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;China;CHN;1975.0;
Total debt service (% of exports of goods, services and primary income);DT.TDS.DECT.EX.ZS;India;IND;1975.0;15.2717461739867
