SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Brazil;BRA;1970.0;1.83859037162669
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;China;CHN;1970.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;India;IND;1970.0;2.19303005039909
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Russian Federation;RUS;1970.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;South Africa;ZAF;1970.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Brazil;BRA;1971.0;1.80522954736398
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;China;CHN;1971.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;India;IND;1971.0;0.86168364341847
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Russian Federation;RUS;1971.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;South Africa;ZAF;1971.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Brazil;BRA;1972.0;2.07238082889231
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;China;CHN;1972.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;India;IND;1972.0;0.901263607584009
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Russian Federation;RUS;1972.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;South Africa;ZAF;1972.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Brazil;BRA;1973.0;2.45317141205038
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;China;CHN;1973.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;India;IND;1973.0;0.816506871011963
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Russian Federation;RUS;1973.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;South Africa;ZAF;1973.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Brazil;BRA;1974.0;3.28239153526985
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;China;CHN;1974.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;India;IND;1974.0;0.822457211886206
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Russian Federation;RUS;1974.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;South Africa;ZAF;1974.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Brazil;BRA;1975.0;3.57014784782046
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;China;CHN;1975.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;India;IND;1975.0;0.876838577747433
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Russian Federation;RUS;1975.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;South Africa;ZAF;1975.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Brazil;BRA;1976.0;2.87522607545275
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;China;CHN;1976.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;India;IND;1976.0;1.17697893903372
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Russian Federation;RUS;1976.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;South Africa;ZAF;1976.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Brazil;BRA;1977.0;3.3390518741113
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;China;CHN;1977.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;India;IND;1977.0;1.01005951462213
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Russian Federation;RUS;1977.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;South Africa;ZAF;1977.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Brazil;BRA;1978.0;4.31607670057489
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;China;CHN;1978.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;India;IND;1978.0;0.952123541920601
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Russian Federation;RUS;1978.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;South Africa;ZAF;1978.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Brazil;BRA;1979.0;5.19012441804864
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;China;CHN;1979.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;India;IND;1979.0;0.836547889915167
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Russian Federation;RUS;1979.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;South Africa;ZAF;1979.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Brazil;BRA;1980.0;6.51636131082642
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;China;CHN;1980.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;India;IND;1980.0;0.748717125621011
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Russian Federation;RUS;1980.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;South Africa;ZAF;1980.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Brazil;BRA;1981.0;7.09598171314488
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;China;CHN;1981.0;0.890595955994368
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;India;IND;1981.0;0.80160606271787
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Russian Federation;RUS;1981.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;South Africa;ZAF;1981.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Brazil;BRA;1982.0;7.21193262344853
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;China;CHN;1982.0;1.03467802431667
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;India;IND;1982.0;0.986987064477621
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Russian Federation;RUS;1982.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;South Africa;ZAF;1982.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Brazil;BRA;1983.0;6.98209067155265
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;China;CHN;1983.0;1.16227212942934
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;India;IND;1983.0;1.14121111890664
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Russian Federation;RUS;1983.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;South Africa;ZAF;1983.0;
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Brazil;BRA;1984.0;6.98568090391989
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;China;CHN;1984.0;0.875207088288995
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;India;IND;1984.0;1.36133011287987
Total debt service (% of GNI);DT.TDS.DECT.GN.ZS;Russian Federation;RUS;1984.0;
