SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Brazil;BRA;1970.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;China;CHN;1970.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;India;IND;1970.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Russian Federation;RUS;1970.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;South Africa;ZAF;1970.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Brazil;BRA;1971.0;22.700015231781
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;China;CHN;1971.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;India;IND;1971.0;13.3546609007128
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Russian Federation;RUS;1971.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;South Africa;ZAF;1971.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Brazil;BRA;1972.0;35.5607566264599
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;China;CHN;1972.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;India;IND;1972.0;13.6361027084753
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Russian Federation;RUS;1972.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;South Africa;ZAF;1972.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Brazil;BRA;1973.0;43.202356243503
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;China;CHN;1973.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;India;IND;1973.0;14.8580826947513
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Russian Federation;RUS;1973.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;South Africa;ZAF;1973.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Brazil;BRA;1974.0;24.3189331803968
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;China;CHN;1974.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;India;IND;1974.0;18.3087258224956
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Russian Federation;RUS;1974.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;South Africa;ZAF;1974.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Brazil;BRA;1975.0;14.9973074246129
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;China;CHN;1975.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;India;IND;1975.0;14.888831931646
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Russian Federation;RUS;1975.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;South Africa;ZAF;1975.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Brazil;BRA;1976.0;19.7236511892943
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;China;CHN;1976.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;India;IND;1976.0;25.5632172484829
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Russian Federation;RUS;1976.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;South Africa;ZAF;1976.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Brazil;BRA;1977.0;17.5103294958599
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;China;CHN;1977.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;India;IND;1977.0;39.4782682776715
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Russian Federation;RUS;1977.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;South Africa;ZAF;1977.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Brazil;BRA;1978.0;22.1507710936491
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;China;CHN;1978.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;India;IND;1978.0;50.3389249125613
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Russian Federation;RUS;1978.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;South Africa;ZAF;1978.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Brazil;BRA;1979.0;15.9214494114729
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;China;CHN;1979.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;India;IND;1979.0;64.9541726945825
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Russian Federation;RUS;1979.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;South Africa;ZAF;1979.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Brazil;BRA;1980.0;9.5510638982148
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;China;CHN;1980.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;India;IND;1980.0;57.9529008030199
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Russian Federation;RUS;1980.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;South Africa;ZAF;1980.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Brazil;BRA;1981.0;9.13103206575163
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;China;CHN;1981.0;174.30692170964
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;India;IND;1981.0;36.0712230552189
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Russian Federation;RUS;1981.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;South Africa;ZAF;1981.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Brazil;BRA;1982.0;4.23319944978167
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;China;CHN;1982.0;205.162267972859
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;India;IND;1982.0;30.5890373518057
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Russian Federation;RUS;1982.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;South Africa;ZAF;1982.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Brazil;BRA;1983.0;4.60651729716581
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;China;CHN;1983.0;206.328840704897
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;India;IND;1983.0;26.8054435519184
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Russian Federation;RUS;1983.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;South Africa;ZAF;1983.0;
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;Brazil;BRA;1984.0;11.4605691431281
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;China;CHN;1984.0;176.040677769512
Total reserves (% of total external debt);FI.RES.TOTL.DT.ZS;India;IND;1984.0;26.0528462937761
