SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Brazil;BRA;1970.0;1189904670.0
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;China;CHN;1970.0;
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;India;IND;1970.0;1023173271.49678
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Russian Federation;RUS;1970.0;
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;South Africa;ZAF;1970.0;1056681100.0
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Brazil;BRA;1971.0;1753865277.94277
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;China;CHN;1971.0;
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;India;IND;1971.0;1245821898.02245
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Russian Federation;RUS;1971.0;
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;South Africa;ZAF;1971.0;777286708.504363
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Brazil;BRA;1972.0;4218805676.74583
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;China;CHN;1972.0;
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;India;IND;1972.0;1367601418.5857
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Russian Federation;RUS;1972.0;
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;South Africa;ZAF;1972.0;1772585939.93695
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Brazil;BRA;1973.0;6508867084.0128
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;China;CHN;1973.0;
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;India;IND;1973.0;1629325093.4044
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Russian Federation;RUS;1973.0;
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;South Africa;ZAF;1973.0;2580499567.19208
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Brazil;BRA;1974.0;5463238279.69263
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;China;CHN;1974.0;
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;India;IND;1974.0;2324650346.59874
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Russian Federation;RUS;1974.0;
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;South Africa;ZAF;1974.0;3780673386.48813
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Brazil;BRA;1975.0;4166486431.37877
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;China;CHN;1975.0;
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;India;IND;1975.0;2064427967.54988
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Russian Federation;RUS;1975.0;
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;South Africa;ZAF;1975.0;2978267497.01579
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Brazil;BRA;1976.0;6666854181.77382
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;China;CHN;1976.0;
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;India;IND;1976.0;3728750637.4451
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Russian Federation;RUS;1976.0;
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;South Africa;ZAF;1976.0;2132510126.08571
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Brazil;BRA;1977.0;7441920872.37625
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;China;CHN;1977.0;4456360000.0
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;India;IND;1977.0;6085439869.41109
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Russian Federation;RUS;1977.0;
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;South Africa;ZAF;1977.0;2019343736.22277
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Brazil;BRA;1978.0;12190033177.1808
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;China;CHN;1978.0;4449800000.0
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;India;IND;1978.0;8316115827.7223
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;Russian Federation;RUS;1978.0;
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;South Africa;ZAF;1978.0;2635700791.12426
