SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Total reserves in months of imports;FI.RES.TOTL.MO;Brazil;BRA;1970.0;
Total reserves in months of imports;FI.RES.TOTL.MO;China;CHN;1970.0;
Total reserves in months of imports;FI.RES.TOTL.MO;India;IND;1970.0;
Total reserves in months of imports;FI.RES.TOTL.MO;Russian Federation;RUS;1970.0;
Total reserves in months of imports;FI.RES.TOTL.MO;South Africa;ZAF;1970.0;2.35805003663429
Total reserves in months of imports;FI.RES.TOTL.MO;Brazil;BRA;1971.0;
Total reserves in months of imports;FI.RES.TOTL.MO;China;CHN;1971.0;
Total reserves in months of imports;FI.RES.TOTL.MO;India;IND;1971.0;
Total reserves in months of imports;FI.RES.TOTL.MO;Russian Federation;RUS;1971.0;
Total reserves in months of imports;FI.RES.TOTL.MO;South Africa;ZAF;1971.0;1.55109519622832
Total reserves in months of imports;FI.RES.TOTL.MO;Brazil;BRA;1972.0;
Total reserves in months of imports;FI.RES.TOTL.MO;China;CHN;1972.0;
Total reserves in months of imports;FI.RES.TOTL.MO;India;IND;1972.0;
Total reserves in months of imports;FI.RES.TOTL.MO;Russian Federation;RUS;1972.0;
Total reserves in months of imports;FI.RES.TOTL.MO;South Africa;ZAF;1972.0;3.76472437724158
Total reserves in months of imports;FI.RES.TOTL.MO;Brazil;BRA;1973.0;
Total reserves in months of imports;FI.RES.TOTL.MO;China;CHN;1973.0;
Total reserves in months of imports;FI.RES.TOTL.MO;India;IND;1973.0;
Total reserves in months of imports;FI.RES.TOTL.MO;Russian Federation;RUS;1973.0;
Total reserves in months of imports;FI.RES.TOTL.MO;South Africa;ZAF;1973.0;3.96260088291364
Total reserves in months of imports;FI.RES.TOTL.MO;Brazil;BRA;1974.0;
Total reserves in months of imports;FI.RES.TOTL.MO;China;CHN;1974.0;
Total reserves in months of imports;FI.RES.TOTL.MO;India;IND;1974.0;
Total reserves in months of imports;FI.RES.TOTL.MO;Russian Federation;RUS;1974.0;
Total reserves in months of imports;FI.RES.TOTL.MO;South Africa;ZAF;1974.0;3.86453961166565
Total reserves in months of imports;FI.RES.TOTL.MO;Brazil;BRA;1975.0;2.94972490717081
Total reserves in months of imports;FI.RES.TOTL.MO;China;CHN;1975.0;
Total reserves in months of imports;FI.RES.TOTL.MO;India;IND;1975.0;3.87405485463058
Total reserves in months of imports;FI.RES.TOTL.MO;Russian Federation;RUS;1975.0;
Total reserves in months of imports;FI.RES.TOTL.MO;South Africa;ZAF;1975.0;2.73296940648889
Total reserves in months of imports;FI.RES.TOTL.MO;Brazil;BRA;1976.0;4.48417970860859
Total reserves in months of imports;FI.RES.TOTL.MO;China;CHN;1976.0;
Total reserves in months of imports;FI.RES.TOTL.MO;India;IND;1976.0;7.31278322210154
Total reserves in months of imports;FI.RES.TOTL.MO;Russian Federation;RUS;1976.0;
Total reserves in months of imports;FI.RES.TOTL.MO;South Africa;ZAF;1976.0;2.10762261753138
Total reserves in months of imports;FI.RES.TOTL.MO;Brazil;BRA;1977.0;4.79556709636532
Total reserves in months of imports;FI.RES.TOTL.MO;China;CHN;1977.0;
Total reserves in months of imports;FI.RES.TOTL.MO;India;IND;1977.0;10.39104209832
Total reserves in months of imports;FI.RES.TOTL.MO;Russian Federation;RUS;1977.0;
Total reserves in months of imports;FI.RES.TOTL.MO;South Africa;ZAF;1977.0;2.02921927176799
Total reserves in months of imports;FI.RES.TOTL.MO;Brazil;BRA;1978.0;6.77318137362456
Total reserves in months of imports;FI.RES.TOTL.MO;China;CHN;1978.0;
Total reserves in months of imports;FI.RES.TOTL.MO;India;IND;1978.0;10.5609207971402
Total reserves in months of imports;FI.RES.TOTL.MO;Russian Federation;RUS;1978.0;
Total reserves in months of imports;FI.RES.TOTL.MO;South Africa;ZAF;1978.0;2.26324595135487
Total reserves in months of imports;FI.RES.TOTL.MO;Brazil;BRA;1979.0;4.14363051479129
Total reserves in months of imports;FI.RES.TOTL.MO;China;CHN;1979.0;
Total reserves in months of imports;FI.RES.TOTL.MO;India;IND;1979.0;11.4128967757818
Total reserves in months of imports;FI.RES.TOTL.MO;Russian Federation;RUS;1979.0;
Total reserves in months of imports;FI.RES.TOTL.MO;South Africa;ZAF;1979.0;3.85095178037623
Total reserves in months of imports;FI.RES.TOTL.MO;Brazil;BRA;1980.0;2.27593871736305
Total reserves in months of imports;FI.RES.TOTL.MO;China;CHN;1980.0;
Total reserves in months of imports;FI.RES.TOTL.MO;India;IND;1980.0;8.25835240427036
Total reserves in months of imports;FI.RES.TOTL.MO;Russian Federation;RUS;1980.0;
Total reserves in months of imports;FI.RES.TOTL.MO;South Africa;ZAF;1980.0;3.63231323580731
Total reserves in months of imports;FI.RES.TOTL.MO;Brazil;BRA;1981.0;2.30893664319944
Total reserves in months of imports;FI.RES.TOTL.MO;China;CHN;1981.0;
Total reserves in months of imports;FI.RES.TOTL.MO;India;IND;1981.0;5.43298795763896
Total reserves in months of imports;FI.RES.TOTL.MO;Russian Federation;RUS;1981.0;
Total reserves in months of imports;FI.RES.TOTL.MO;South Africa;ZAF;1981.0;1.78822914055617
Total reserves in months of imports;FI.RES.TOTL.MO;Brazil;BRA;1982.0;1.20605114563605
Total reserves in months of imports;FI.RES.TOTL.MO;China;CHN;1982.0;10.5326240049283
Total reserves in months of imports;FI.RES.TOTL.MO;India;IND;1982.0;5.43167189869752
Total reserves in months of imports;FI.RES.TOTL.MO;Russian Federation;RUS;1982.0;
Total reserves in months of imports;FI.RES.TOTL.MO;South Africa;ZAF;1982.0;1.96432658888334
Total reserves in months of imports;FI.RES.TOTL.MO;Brazil;BRA;1983.0;1.74959096969052
Total reserves in months of imports;FI.RES.TOTL.MO;China;CHN;1983.0;11.3291646829965
Total reserves in months of imports;FI.RES.TOTL.MO;India;IND;1983.0;5.31354411041866
Total reserves in months of imports;FI.RES.TOTL.MO;Russian Federation;RUS;1983.0;
Total reserves in months of imports;FI.RES.TOTL.MO;South Africa;ZAF;1983.0;2.09302519123477
Total reserves in months of imports;FI.RES.TOTL.MO;Brazil;BRA;1984.0;4.73164663954464
Total reserves in months of imports;FI.RES.TOTL.MO;China;CHN;1984.0;9.41101580026203
Total reserves in months of imports;FI.RES.TOTL.MO;India;IND;1984.0;5.38431568252224
Total reserves in months of imports;FI.RES.TOTL.MO;Russian Federation;RUS;1984.0;
Total reserves in months of imports;FI.RES.TOTL.MO;South Africa;ZAF;1984.0;1.38657032020088
Total reserves in months of imports;FI.RES.TOTL.MO;Brazil;BRA;1985.0;4.68828267613567
