SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;Brazil;BRA;1970.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;China;CHN;1970.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;India;IND;1970.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;Russian Federation;RUS;1970.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;South Africa;ZAF;1970.0;23.2876712328767
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;Brazil;BRA;1971.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;China;CHN;1971.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;India;IND;1971.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;Russian Federation;RUS;1971.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;South Africa;ZAF;1971.0;23.6004943758158
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;Brazil;BRA;1972.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;China;CHN;1972.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;India;IND;1972.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;Russian Federation;RUS;1972.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;South Africa;ZAF;1972.0;26.3400761534472
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;Brazil;BRA;1973.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;China;CHN;1973.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;India;IND;1973.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;Russian Federation;RUS;1973.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;South Africa;ZAF;1973.0;24.2950911326799
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;Brazil;BRA;1974.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;China;CHN;1974.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;India;IND;1974.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;Russian Federation;RUS;1974.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;South Africa;ZAF;1974.0;25.2520270676146
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;Brazil;BRA;1975.0;16.8130990415335
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;China;CHN;1975.0;
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;India;IND;1975.0;2.29266428999098
Travel services (% of service imports, BoP);BM.GSR.TRVL.ZS;Russian Federation;RUS;1975.0;
